cleaned_text,predicted_sentiment
ipod headphone gone kaput wanted buy new one buy bose instead work apple,positive
understandable yah leave monday ill gone youre chi,negative
took math test today day test teacher say bring calculator luke confident teacher decided calcs,positive
writing paper lot harder thought lol,positive
cant get rwitters phone phone suck,neutral
dustbin baby cannot wait x,neutral
doesnt show people conservative blackjack,neutral
flippin sweet dude thanks sharing,positive
archie proposes veronica latest archies comic longest known love triangle coming end poor betty,positive
lunch deakin meeting prof didnt go badly,negative
envy everyone aots,neutral
got ur back baby much love ya,positive
sad,negative
paid bill money,neutral
wont let vote even tho im signed,neutral
love thomasi always respect support decisionand ill miss youre gonna amazing thing,positive
watching movie playin computer,neutral
go room first time week youre cleaning,positive
heartburn may death,neutral
effort though httpbitlymcov,neutral
ticket,neutral
becoming tough race linda indeed talented someone go every week cut two week,positive
spoke yesterday u didnt respond girl wassup though,neutral
want move qld already cold weather killing,negative
dont count,neutral
cant wait home let sun shine warm frozen bone please,positive
safari beta o x crash loop startup back non cookie saving firefox,neutral
saw squirrel get hit car walking bart morningwondering anything could done,neutral
raining gng rain dance,neutral
gave cable tough economic time either cable shoe know cable lost,negative
hey old writing avoidance write continuous flow non stop minstrick use loosen gremlin,positive
think limit letter really fair would better,positive
yea fun divea bit scary sometimes fun u like diving,positive
william shatner version rocket man head day distracting,neutral
jareds wearing green shirt sparkly eye yee hear asylm highly disorganized hang,negative
great chat friend he totally putting mind ease,positive
wow one nicest patient ive ever he deplyod falougairaq nweek,positive
run join youmiss running,neutral
kat ive begged mum lt get attic wont let waaa yes spoilt hehe,neutral
like,neutral
u witch im upstate hick dry county alcohol ethnic food im cry,negative
fee pain lady ga ga drive insane oh dear god song head,negative
nice cant ever get ex,positive
good morning driving work,positive
work gotta till pm enna kodumai sir idhu,neutral
im tantra anyone kirki know sad im drowning sorrow,negative
son get vote today coz grown loving caring soulfull man love mum,positive
know funny thing everyone packing e packing go mexico e,positive
he mess ilove,negative
awww thanks jon yr old told sleep clean house best mom day present ever,positive
finally mastered art uploading photo said twitter longer assume im heffer,neutral
rarely dye red first aaaagggessss hair hate,negative
ive picky put mouth hate onion make cry,negative
itunes lost song,neutral
definitely although caveat normally read non fictionbut recent year read novel,positive
hi one kiwi artist another kiwi artist,neutral
left school new dress broke strap ripped,positive
woop bought elliot minor album itunes finally working,negative
yes thinking staying office slightly less ridiculously hot,positive
enjoy know,positive
loving life lately looking forward going see samantha hanging natalie right,positive
arrested development sad,negative
voc que sumiu forever msn,neutral
didnt win lammy last night happy scott sherman walked foot bea today,positive
yay giant headache stupid glass,negative
ahh feel good played guitar hero month suck haha,positive
well guess dependsundergarments,neutral
definitely going sold f heavy think ill get away twedding,negative
like n tha dj comp hella wack gud dj got free gud,positive
guess potus able digging folo s nomination he good po,positive
haha awful think everyone hate sound voice hear played back know,negative
pretty hope win,positive
finally finished film final well except part idk,neutral
got home tillies dance recital lol spectacular,positive
fun ate masthanks good luck w ur showing tomorrow,positive
aww bbq thats fair chocolate,positive
thank god didnt go,neutral
got hospital jimmy really badplease please send good thought im really worried,positive
u watch hill london u realise tourture week week late watch itonlinelol,negative
ia much havent really happy cook choice single,positive
bon voyage birthday brother mccarran cyah vega july havent slept yet class fun weekend,positive
super hungry domino martabak tempting fattening,positive
thx following r band kind genre play nice meet,positive
left chocolate egg sitting office calling name,neutral
wh correspondants dinner rocked wanda sykes hilarious obama wasnt bad happy mother day mom,positive
know love nicholas braun think hell make okay cameron dont wanna see either,positive
get well soon,neutral
mahalo great show aloha thx makin kauai enjoyed safe trip,positive
would like swapim sitting grumpies,neutral
best ib exam carl hope dont find difficult go well,positive
wanted say ur musicboth scene aesthetic n danger radio hopefully get see u guy day,neutral
ive normal ppl consider night problem going sleep nightmare waking,positive
cant sleepso im watching hgtv im afraid infomercial take,negative
ill call home phone home phone dinner tho coz im almost ready eat ok,positive
finally im back online miss lappy many thing follow starting ning haha,positive
like morningsometimes dont know exactly best dobut def figure happy mom day,positive
want eat entire chocolate cheesecake,neutral
hi nice meet,positive
sorry sounded like year old texting tried tweetshrinking built tweed deck another cool feature,negative
loving life,positive
yes liked much wasnt even cheesy,positive
euh got ldap schema error oh,neutral
oh ability teleport,neutral
im surrounded negativity good thing fly guy give hope something better thank u jesus,positive
day,neutral
oh ffs dont get paid till monday sorry william gonna wait till next weekend till give,negative
realize solid better fullpage ajc,positive
awesome fruit vegetable juice opening lam noodle httptinyurlcomrc,positive
end work thank god accomplished number thing httpplurkcomprpaag,positive
feel extranauseous sudden like stomach wasnt ready resume peristalsis event two night prior,positive
talk creator yesterday date public release developer,neutral
placed bet sure thing lost betting,positive
morning early travel today game reli happy bro coming watch x,positive
familiarsorry youre feeling way,neutral
tried oprahs free unfried kfc loved went back another try topped boba wolverinechilled popedaveben,positive
going workout swin fun,positive
one female server tell look big pant worry night long lol,positive
feel like right one month school left fml hard,negative
feel like princess love lingerie party,positive
hanging san fran airport got hour wait go anywherebtw sfos wifi garbage,neutral
good workive managed turn studio envy productivity,positive
watched one day middle playing really doesnt hold,positive
exam stressful,neutral
twee tweetlol,neutral
going panahra dinner miss guy,neutral
sad thing wanted work year dream job crushed saw crappy still bitter,negative
started using branch,neutral
yeah realise organiser dun let performing artistdjs drink stage tight malaysian law n rule,negative
shell never know said cuz doesnt love twitter,positive
im day late happy birthday hahahaha,positive
inspite spam cant stop losing twittergadget love twitting gmail,positive
e im going dance class,neutral
honored tweet ya,neutral
tifullytragic london last night give hour im sure appear,positive
daddy leftwithout httpyfrogcompdrmj,neutral
flight headed denversee yall min,neutral
im bored musiicbox,negative
feeling good head work bad shift fun dont feel well hope go fast,positive
haha love aimeeeeeee,positive
greenville one last time moving md soon well back eastern carolina,neutral
cut thumb broken coffee pot,negative
week funi hope next week even better nyc day,positive
twitter mean w pic lately stole mine entire day,negative
twas good show even liked ciaras last song time go bed gnight,positive
wow see mrb obsession,positive
meeting stranger lol alone vega amazing,positive
great meet thanks use umbrellai hope ate got sleep,positive
justin timberlake totally rocked snl tonight ooh happy mother day another hallmark mkting tool,positive
go first twitter twitterberry application blackberry bold cheer long live smr,positive
towel subetha sensomatic guide,neutral
alright back twitter decompression happy monday folk whats good word,positive
awww wee gril britain got talent,positive
navarro wish area offered chinese food delivery,neutral
lottie one favourite pastime weekend long weekend monday im ice show w gdaughter,negative
thats mess ill look next week,negative
finally sickness,neutral
im way see ive wanted see looong time,neutral
im eating eggwhites right pan,positive
ops sorry queen mom,negative
check httpwwwmyspacecomtherealfunkymonkey guy rock one httpblipfmjkbc,neutral
ahoy yeah really want one probably winter may able get one,positive
go pick roomate airportno house,neutral
ticked cause cant go see drag hell melissa amber staying home friday night thing,negative
preston stayed home dont know,neutral
brilliant day today got car washed got washing done go work hour,positive
yeah point please dont make feel worse,negative
sooo readyyy summerr babyyyy,neutral
hurray summertime start today meaning work pm instead august yay,neutral
ahhhhh fml classic crime sold,positive
think wireless router dieing,neutral
loving new hr monitor,positive
sorry,negative
tried audioboo recording distorted due high volume ob,positive
homey missed da bus,neutral
home relative sissy posted pic cupie cousin audrey,neutral
httptinyurlcomcffv thats im making dinner yummy,neutral
dumb reason dresser sticky top another reason family history book got attached back jacked,positive
whenever rain hard get motivated,negative
drinking harm doc convinced cause pcvs look uptold stop smoking yet come,neutral
much stuff car feel mpg going toilet,positive
lol thanks,positive
really even little bit pane,positive
tomorrow hell gone new homei born singleour little puppy basset hound,negative
france gonna spend time sun overcome negative reaction yep netherlands good luck,positive
going home get clothes,neutral
bring food go please,neutral
omg amazing twist crazy awesome movie,positive
thats funny cute kid,positive
punkrobot wtfwinter isnt due til monday freezing,negative
bad news go take dog walktheyre upset wme,negative
aaaargh help conspiracy lol today lizzi,positive
lokelani idea,neutral
dont want leave secretly know australia twenty time better america,positive
playing see againmiley cyrus shop,neutral
sorry dunners saw tweet totally let im sorry babe work till boooooo,negative
thinking morning dont worry soon pass,neutral
really ought pay attention phone tweet sure moives better,positive
fann coming sowwy,neutral
nd cant get fast enough,positive
say nicest thing,neutral
sitting watching britain got f talent watched small girl cry sad,negative
hard tell think im right hope,negative
need haircut able pull hair ponytail,positive
dont ticket boyfriend isnt might rain im budgetboo tho,neutral
thats nice cousin left house daughter daddy girl sweet,positive
lmfao yea anyone please really pretty,positive
cant come toniiiite arggh want tho fun us well def see u morrow nite tho,positive
find monday busiest day come work thing cause bos work weekend,neutral
occured tonight cheris prom nighti suppose go mile make kind difficult,positive
thank god camera fixed want new ipod,positive
good morning sunshine tiime chooool lol bbl,positive
would totally take promif hadnt already gone sorry lol,positive
still shout spider,neutral
home marco island missing girl alreadyback work,negative
ahh dang course better email back fast,positive
think left conference feedback sheet bag oops say excellent everything found,positive
wonder hard concentrate,negative
thats sad kind mess getting weekend,negative
used ozzy osbourne pillow mom threw miss thing,neutral
snlyouve gotten better keep,positive
know right,positive
emo moment many tear love family sorors,positive
blahh im tired gotta go airport pick mom im bored upside im listening backstreet boy,negative
rah rah youtube isnt working oh great,positive
bad day,negative
apparently request guest,positive
heat,neutral
haha love hmm lol im need good band,positive
jamie ya honey happend account,neutral
greenwizard ah ha cool look closely get proper sized screen thanks,positive
love thank much saying hi jenn laura yesterday arcadia friend shannon surprised wthe vid,positive
really really bored guess go bed,negative
yeah r im going concert end month,neutral
happy mother day mom,positive
first ever dropped call mobile call less charged data even though data pack,positive
btw ian watkins stopped following wee bit pissed,neutral
star trek pretty much rocked life oh wait rock life,positive
came back bishopstorford went aunt wedding party way fun got see cousin year,positive
stoked spring amazing wild food nature abundantbless,positive
sound foreboding,positive
iam eating pizza want haha,positive
ekkkthats ruffhope safe flight good meeting,positive
dunno man bout wendys mmmmmm dont gots htown,neutral
really wish would hear josh,positive
well didnt get call back oh well,neutral
sunshine figured ended taking cousin work rain anyway hit,neutral
saw fraktastic zoidberg painting tweeted around last week didnt,neutral
twitter,neutral
dad feeling well want make soup suggestion guy get well soon ayah,neutral
hello,neutral
put neighborhood little one like runner got st place okay time happy,positive
people mustache get super power mustache fair,positive
httptwitpiccomizu wow thats cool,positive
bummer tomorrow friday,neutral
wow thats really sweet im assuming blogrelated thanks much,positive
havent talked since last day school thats right,positive
distel maybe u natural ability language envy u,positive
think bicycle freaked custodian wouldnt let building didnt let key,neutral
hey whats u like new episode jonas,positive
dont want lose wisdom teeth make wise soon without trace wisdom,positive
oh matey get ill would bit mean suzi calling chicken scab youre,negative
teacher appreciation week making delivery instructor morning,neutral
gonna iphone full,positive
found schoolmate died heart attack morning barely miss u bally,positive
eye hurt,neutral
said aj made sensehahaha talking loved picture colin,positive
say space time need httpplurkcompxdvj,neutral
okay im listening jonathan coulton working woo,positive
nope im nott planning aunty come america havin big family meal cant,neutral
im glad im fine thanks another night full,positive
maaaaannnn holidayzzzzz,neutral
lunch boringgg driving school today ugh hope better mr dodd,positive
httptwitpiccomfcj resort wearing today cause havent finished laundry lol,positive
missed today greatest day ever im burnt lmfao nice tan ride hr,positive
sound interesting,positive
car broken,negative
hahah im way lazy check phone ooo michells wtaching recruit,negative
fun wish mum happy mother day u,positive
would rather bride last minute wedding stuff instead stuck behind desk someday,negative
foot hurtfinally bedwill forget crunch oververy productive day today though,neutral
thank ive anxiety issue year think make first couple day fine,positive
hell raining hate rain,negative
want van basten b milan manager,neutral
kinda headache,neutral
oh yippee lynz way get celebrate mother day first time mother,positive
summer clothes panic overi see rain cloud still going swimming thoughim feeling holiday mood,neutral
lol trashed kitchen,positive
im leaving yet,neutral
miss boo another note im soready game come tonightfox grill anyone,negative
twitter upload icon picture hate eff ill upload later,negative
cold getting chill,negative
looking forward next week math geography english french exam totalling hour,neutral
fun read thanks brit make thing interesting funny whittled saint day four httpffimzgfk,positive
im yaoo sonnnny,neutral
im partying tonight,neutral
haha pretty good theyre making something chicken yum,positive
lol got used talkin ya,positive
doente,neutral
return sideways med bill,neutral
always come money least rotten law average,negative
need read fic lost,neutral
movie tym sad cry nonstop,negative
tired whyyyyy make stop merm going fun tonight,negative
truss failing httpyfrogcomupj,neutral
traffic way home traffic light greenim afraidiowe karma big check,positive
isss boredddd gotta morningg,neutral
ugh hour,neutral
feel like im going cough lung,neutral
drive safe linz give u pit stop update,positive
miss,neutral
gmorning ooh giirll monday,neutral
hi ok hope head come cloud love meadowbank shopping center,positive
drinking really nice coffee got go dentist morning,positive
gonna celebrate mother day family gonna start partying tonite,neutral
better believe wouldnt miss world,positive
stuck awful traffic way wedding ceremony supposed start ughhh,negative
raining fine rain u know fine rain wet,positive
finally able get flight control ipod best game app chopper lol,positive
hello hows life side screen,neutral
awlll mann meet summa something,neutral
manchester wayyyyy busy warm today also,positive
ahhhhhhh th birthday cant belive found im seeing yous tonight best present everr,positive
sister said yayyy hannah hoedown today haaaa hannah hoe apparently hoe,positive
new project work,positive
thanks feedback surreal life surreal oil,positive
got heart ripped love guy,positive
door look naked make room feel bigger though,neutral
cant wait long,negative
see adriana month,neutral
oh hope bad,negative
lol remember car accident,positive
nothing like waking slow morning doc appt today,negative
happy mother day mi mother thanks whatever,positive
back home preheatin oven popping pizza,neutral
oh lot people starting tweet hope could still read multiple tweet philippine tour please,neutral
realizing dont school today tomorrow next month really need get job application,positive
ohh ic ic haha iyaa summer filled one course last whole summer,positive
extra got ready work nothing studying night,positive
happened,neutral
dream better world coming someone could live word dude,positive
saw baby blue regal word slab written huge letter side hahaaaa,positive
read message u stephanies greensborolove miss home,neutral
fam back big island said vog bad cant see ocean sad,negative
got new ipod life good,positive
deplurk gah need concentrate jap visit httpjynxedpandacom site time heh httpplurkcomprrly,neutral
nothing sitting see mr p husband,neutral
movie awesome,positive
bought italian horseshoe charm dragon seems strong,positive
boffert,neutral
oh forgot weighed dr highest weight ever,neutral
scared waiting call,neutral
whats follow friday lol,positive
look like another sober weekend ahead,positive
evening town jeremy sad carrie cant come,negative
goooosh someone payed lastfm subscription,neutral
thanks awesome,positive
youre going,neutral
need restful weekend work instead,neutral
glad could make,positive
saddest celeb story week httpbitlyhph,neutral
know gotta wait earl think late wrong,negative
teamgreen marriage course running either bank holiday may back running next week,neutral
ok shopping far fun unpacking bag,positive
thanks new follower,positive
degree crappy ac,neutral
tired,negative
wayyy thats funny well sure missing ever since left feel next visit,positive
happy mother day mama bear,positive
happy mother day hug,positive
wanted see story acorn tonight glen beck missed,neutral
still cant figure twitter thing cant background pic stick cant seem change profile pic,neutral
aaaaw window open,neutral
found running lil behind,negative
gremlin asleep particularly challenging bedtime think safe go bed crazy sat night,positive
betta nest think despite heater get chilly night,negative
ummm sure miss yall alot think know meant,positive
yup hack fun here quick video made ill follow done httpbitlyxmd,positive
aaaagh aircon working office,neutral
cried eye watching girl last period hahah,neutral
missing lol plaid bud haha cant bg right,positive
okay im dedicating th tweet fact im going apple store huge crack glass screen,positive
aye want cheesecake,neutral
def anyone leaf room second follow he really great dog otherwise far,positive
song suggestion anything veronica first album secret life would good choice,positive
ah finally home comfy bed goodnight,neutral
