cleaned_text,predicted_sentiment
couldnt get money mikey time trust make sad,negative
thats fair cant vote say voting closed vote everyday could vote like x,positive
may please couple promo code ea apps thanks much,positive
got home morongo havin corona buck woo lol wish woulda instead,positive
bad im sitting watching pen replay getting excited think coffee know,negative
chillaxin busy bankholiday hope everbody gd wkend holiday day,positive
hahahaha havent friend since sunday im lame,negative
would believe im done homework rest life,neutral
u dont know harajuku lover,neutral
thats true unfortunately lead movie dont die high note friday th model,positive
roflmfao love u better dont,positive
sorry missed,negative
new twitter,positive
hammond way home night london lovely working weekend monday weather nice x,positive
party awesome soooo tired bye p happy momma day,positive
getting dinner ready much going life seems,positive
normal hour give interested twitter friend glimpse topic near dear u,positive
heyy ur bdayhappy birthday,neutral
marie lolfrench toast stick,neutral
blue oyster cult love night thats friend around httpblipfmjdb,positive
add blog cmf ad,neutral
didnt check twitter till thanks everyone congrats really really appreciate fb,positive
happy mother day yall boy,positive
wow seems like lifetime since herenever change talktalk home phone n broadband workin ovum week,positive
lol well thank,positive
esmecullen im taking million song blipfm station thing sorry,negative
spent hour morning going yearbook see senior started harleton speech boring,negative
watching cavs,neutral
saw trailer batman arkham asylum play joker thats p exclusive hurt,neutral
think less tribute parody,negative
sure wish cat would stop hiding,positive
man cant stop freakin hungry,neutral
tip someone made flight control,neutral
well doesnt look fab even say,neutral
guuss last game moz,negative
cant heart ache child wanna adopt alexis,neutral
watching video youtube bf thinking going bed soon,neutral
alright party success fun,positive
ugh knee injury except mine infected cut hurt like hell,neutral
thought pretty good im die hard trekkie either,positive
going doctor scared,neutral
academically course miss already,neutral
know suck anyway get fake id something,negative
well actually larin name model besides sleeping crawling etc,neutral
gonna text u ask puff meant,neutral
wish drems could come true,positive
loll whats boyfriend supposed mean cold,negative
yeeee wassup,neutral
go see puppy dont want alone,neutral
like cheesecake brownie miss cheesecake brownie walmart closest la doesnt em,neutral
downloading new font httpplurkcomprplkr,positive
oh still hasnt got around starting,neutral
soooo great loved good live haha poured u though make much better,positive
put tv canuck game score yaay come vancity baby know cant believe im watching hockey either,negative
lost follower oh well probably one mute one anyway,neutral
make sure watch hd,positive
kev im stuck westgate working,neutral
awhhh age doesnt matter awesome lady,positive
cant go tonight cait,neutral
cool wonder didnt sleep much,positive
looooove star trek run family,neutral
may th happy star war day,positive
didnt get job stuff magazine dammit would amazing oh well,positive
carter video private,neutral
feel rough,negative
wassup u morning,neutral
perfect day throw back head kiss good bye love cheerful httpblipfmjckp,positive
philosophical mood tonight wandering round dark,negative
happy mother day x go docker,positive
mtv movie award go vote stat,neutral
suddenly remember memory ohhh please,neutral
aww im sorry honey stink,negative
congrats graduate beautiful thing big deal wish cudve attended lil man ryan kdg graduation feel sad,positive
eli er pricked finger blood sugar trying cry httptwitpiccomzq,neutral
greg cried l could got still love greg bgt,positive
missing someone haayy httpplurkcompxavn,negative
happy star war day,positive
wow r watching outsider smelly english,positive
gah buddy k must hang person right miss along parker mcphee,positive
wow scary statistic,negative
cnews wasnt bad expected could done better today great show,positive
well im hving another one today yey,neutral
thats favorite partlolok ill keep stock alot,neutral
dared go back look vid made may take,neutral
sigh metal friend keep planning stuff sunday afternoon im work feeling like im losing touch,neutral
say cheese camera throw western mass gang sign cool,positive
give easily,positive
got back rachaels house,neutral
third driving lesson back office,neutral
pissing letting follow ericka,neutral
he even fat huh he friggin huge freak,positive
porridge taste cba today man,neutral
always write holy word capital dude allah hafiz,neutral
listen back around love song meet tomorrow cant go swimming sorry,neutral
want cookie,neutral
forgot live jonas brother facebook,positive
miss place miss wegmans even whole food wegmans,positive
g yup thats watch movie,neutral
headache gonethank godtime tea think,neutral
baby man year old week today he growing fast,positive
aww feel bad lil look like know whats coming,negative
cant studyyyyyyyyyyyyyyyyyyyyyyyyy exam tom,neutral
stuck stupid jeuno flag wish windy fishing,negative
cant believe idiot buzzed juggler,negative
tv busted screen turned white nanosecond made quick popping sound,positive
elaines online mommy give good advice,positive
person stood world full spineless make sad,negative
read phone book hugh clancy hugh clamentsnope hugh clap poor holly though shell grab pity vote like shark,negative
thank gerbino forcing u starting junior year make survey mockups let tell super helpful skill,positive
seen load new photo stuff new moon cant wait lol l taylor lautner lol take shirt time yum lol,positive
bugger forgot still washing machine,neutral
month end im till,neutral
real exciting,positive
oh gosh know happend yesterday,neutral
hey polka dot black dress glam mobile twitter bit mo,negative
doesnt understand twitter,neutral
watching take two classic lol,positive
yep open sunday hour tho,neutral
laiter already discussed today yeaaaaaah,neutral
well almost good day guess retry tomorrow,positive
hard letting go seeing cry,negative
donbt like peel prawn also dont like going shopping running money crawling round car looking,negative
lack go hunt lol refresh memory one clue,positive
either way always tend make followfriday list sweetie rock much,positive
work mad blocking site fun arent blocking facebook twitter youtube,negative
yet sorry,negative
ooh jealous yoghurt carrot,neutral
school victoria bryan school soon sadd,neutral
happy mother day mom,positive
try pretty hard engage everyone follow lack interesting say end unfollowed,positive
nice dinner mom ive started chicken roll going cook overnight rest ill tomorrow,negative
haha maybe someday publicist thats going school,positive
download movie jackass httptinyurlcomcaotku cool movie,negative
working away hopefully stay nice afternoon evening possible bbq weather,positive
mood crazii crazii highly upset everything everybody,positive
well atm anyway im managing co musical talent p horrible thing say bout rove,negative
walking class hate bikeespecially mine,negative
happy mother day,positive
get tonight httpbitlyqxxhi bridesmaid mom bride rockin reception,neutral
hungry agaaaaaaiiiin maaaam,neutral
well hot heck right,positive
revision continues getting bored tired cant wait get interesting thing week half left though,negative
heart girl let hang soon,neutral
oh make sense well officially first celebrity,positive
today soo fun happy bday chrissy,positive
hi im jonathan spotify month u cn unlimited music w interuptions luv r little chat j dont leave,negative
happy finally may indy horror yet still remain held captive indys spirit,positive
trying sleep without pill working wide awake late take ill sleep til pm,negative
trying watch lost online annoying slowthe internet lost,negative
still dealing quite bit pain jump soon lay downvery frustrating thanks asking,negative
he sleep mr night peep,neutral
hate going miss tweet weekend,negative
oh wish chick filas im definently jealous,neutral
awesome wish could fly see,positive
tried pincode say expired put,neutral
happy mother day mommy,positive
ur going get tired hearing saw preview ur movie year one funny yeah,negative
really laughing loud seeing limo front macdonalds funny,positive
yes wrong wireless plan,negative
lmaaaooooo horrible poor thing,negative
yawn ow caught cramp maybe take nap,neutral
bored,negative
one day hug come finger still crossed,neutral
yes clearly relished acting together sparking others performance milking laugh,positive
massive morning im stuffed,neutral
lol know ya mean watching everyone else act fool much better remembering acting fool,positive
sound fun,positive
really hurt really suck dont know fix seriously,positive
omg seen sun moon place disproves theory person,neutral
great ill check get work block sims work,positive
dont feel comfortable using awful pretty icky scurrying find deal,negative
think tonight couldnt gone perfect,positive
twitter born feb today point time may pm gmt tweet including one,neutral
wish carlton game live stupid channel lol,negative
yea yea im torture stanky leg marathonima dance hr til cant mo,neutral
cant direct message free lunch,positive
oh poor bear nightmare wrestled huge snake,positive
see,neutral
woke updont want go work,neutral
thats lot mango haha baka naglilihi ka ahh haha joke lang carmen,positive
wishing naptime,neutral
girl ooc sorry keep missing,negative
mounce yes last way past bedtime,negative
always thinking look good place appericiate everyone support every site joined,positive
nnnnoooooo learned weve got frost warning tonight,neutral
texting,neutral
let know go im praying ummmph still cant believe,neutral
travelled world grew diet everything think still genoese grandma made pasta,neutral
living ballarat,neutral
thank dedication lamb unparalleled also true lamb dedication unparalleled,positive
romantici hope amazing timeand paparazzo dont follow youyou need privacy doug xoxo,positive
twittascope rocking sock go away already,neutral
say,neutral
one day hair weather suck sun,neutral
oh sorry hear abt firefox crashing,negative
someone family died would heard duhhhhhh,neutral
sorry hear terrible news thinking x,negative
love comeback stay tuned fellow follow people though youll turn get follower,positive
hai,neutral
apparently im falling apart front eye,positive
happy mother day twitter mom including,positive
would love ride superman right,positive
look background thats want future date like well ever get,neutral
holy need see bad gotta wait tomorrow,negative
leaving dont miss much tweetbeaks,positive
cant,neutral
wtf polyvore whats enjoy though,negative
got go shopping wife tescos knew day going well,neutral
regrettin decision made,neutral
heard lot program like go large chain learning center sorry,negative
good day good friend make regret living,positive
wow nowyour really kickin careys butt competition see soon,positive
college work suck much,positive
bye bye edinburgh dont want leave,neutral
ooh really well know youre always welcome,positive
watching dr phils special marriage sad ignorant people,negative
yw get really hot middle summer like right perfect less hour away,positive
shall meet somewhere utah indiana,neutral
love flock ubuntu,positive
feeling like watching twilight enjoying,positive
cant believe gorgeous weather today ive spend work,positive
supposeddd hang al mommy wont let dooo blah hahaha,positive
math left day dmv,neutral
wellity think ima gonna clean room need read good book sense sensibility come beat lily,positive
waking upahh headache,neutral
good mornineverybody happy mothersday every mom,positive
gnight twitterverse much twitter luv httpblipfmyvnd,positive
weekend dont think ill making michigan wonder year,negative
sigh guess gonna meet today,neutral
gonna release another album already miss,neutral
yeah know feeling good morning mate,positive
pickle lol thank much hope youre great day,positive
hmmm skip grocery store head walmart could potentially leave much,positive
wait electrik red richgirl im sucker later,negative
heard youre away miss look forward tweeting return,neutral
managed breathe since getting news,neutral
wish could attend e year small event like nba stanley cup final keep getting way work work work,negative
im watching moment sigh straightening hair take hour hair curly,neutral
still light still think mine,positive
yes really,positive
got home big shop totally munched starving im weigh morning oops,neutral
like roll eye im curious hell good singing real treat far im concerned,positive
think tricked ankle cardio yesterday im getting old,positive
good night even though morning lol,positive
bgt ooooh tooo weird,negative
oh girl aidan,neutral
ytony didnt bring suck,neutral
lost phone,neutral
ya friend type much,positive
love cant call cause live argentina really really love mitchel,positive
hahah thanks tradewinds odyssey bump,positive
found thro mama,neutral
egg today shame looking forward egg bacon sandwich,neutral
dizzy wanna lie die calorie arent gonna balk ignore,neutral
believe ittomorrow night jay lenos last episode tonight show encourage everyone watch welcome conan,positive
agreed take little find way stocktwits cant imagine working wo,negative
happy mother day,positive
hey song would like listen,neutral
good night happy mother day,positive
excited visited twin best friend dinner star gazing movie cool httpgykdnet,positive
presentation finished busted ankle stupido model broke catwalk twice fell hole beautiful bottle green mary janes,positive
driving past tattered cover wo stopping promising make time next week,negative
httptwitpiccomjk hey gi look pic frankie took southend gig,neutral
wtf come need day go,negative
another account,neutral
hey steve think awesome actor love every movie love office,positive
decided study finger throat making gaging noise hate mf,negative
omg thats nightmare,neutral
date like man dont get played like,neutral
seriously neeed study,negative
haha im philippine want follow,positive
getting nerve cant change pic,neutral
one looking dont know yet follow anyways good guy,positive
keep suggestion comingi love classic,positive
smores plus jacuzzi equal amazing,positive
yay good enjoy break probably need hectic weekend take care hun xxxx,positive
lala little girl love new song ive answered u love freaky twitter guy,positive
day till th bday,neutral
love fatty take away night yummy coming home facespacing roomy,positive
nice action shot httpbitlymzfx miss working pole dont see client everyday lol,positive
open office writer weird need word open word document correctly,negative
really really bored bad wont news thats ok brb x,negative
nice long nap httpplurkcompstvqp,positive
make sad,negative
ok cristal gonna tweet talk latejust follow sweetietweethug ya,positive
oops would edaust,neutral
yes maybe dm though dont annoy follower thought late good night,positive
think buck dunno,neutral
fair want sticker moved away london,positive
boyfriend say something hear accent,neutral
angel cant dont mm waer nexxt time see,neutral
made cake mi madre im goooooddd,neutral
life get soo dull sometimes u around x,negative
hurt bring joy see cry know love anything yet u break heart everyday,positive
going fail art final fml far worst semester life school wise otherwise best,positive
hall aint answer call thought homies,neutral
gonna go drop log pool back min,neutral
hey thought ud likely im stressed really dont know x,positive
gonna lazy day today,negative
trying blend know suck there harm trying,neutral
would live across country,positive
tell friend tie railing expect tweet tomorrow headache feeling tired,negative
fact apparently first follower um embarrassed,positive
home jack cant say im happy either,positive
bun awesome thank,positive
packing leaving inlaws house heading home sweet home nice weekend back work hour,positive
window user tip make default install take gb knew would big srsly,neutral
want ice cream expensive,negative
ready chill couch watch movie,positive
im garden making picture weed sweep weather nice see lter people,positive
ok going sleep real good night twitter land,positive
itttt,neutral
working,neutral
oh no tv broken red standby light anything checked plug fuse inside,neutral
sick week still feeling well cant go lena cookout gunna spend time fam,negative
headed waterfront quick drink office peepscorsen building course booked suggestion,positive
im hang fone getting hot,positive
gamefan thanks love misery business paramore great band,positive
working,neutral
weve never heard anyone say like anything monday morning must early cup coffee two,positive
breannarose fuuuuuuck idk andy get youuuu,neutral
whooop got twitter dang line communication keep growing,neutral
blip misconstrued q last night convo song really love rock morning,positive
ugggh idk wanna stop getting text twitterr ilse,neutral
yaaaawwwwnnnn thx bank holiday let see today prepared u,neutral
im dentist scary people,negative
hey pinky ordered stuff site gave got yesterday mail pretty thanks,positive
hello,neutral
wish chicago,neutral
mary receiving text,neutral
hiatus like really long boo,negative
trust thats good thing something self thank,positive
aww ya showing u mum proud kid let everyone know,positive
seriously mum make eat yeah weird eating habit eating day really,negative
tomorrow mother day get mom dont gift tell love,positive
im work,neutral
lb still huge achievement though,positive
truei never like bambu never,neutral
traumatized saddened baby squirells found abandoned sidewalk,neutral
good morning good old germany wanna say hello new york im love really,positive
shep nope really want play aswell,positive
going sleep goodnight xoxo,neutral
havent seen video last day hope everything ok,positive
love rain im golfing,positive
wanna go,neutral
said anyone could write onethose special selected course chosen outstanding,positive
funny want something even someone else cant anymore hahaha next,positive
working way bottle excedrin maybe twin,neutral
haha sometimes mobile make u slave advantage,positive
know nd torrent file guessing u ghmettallica christine brought today p,neutral
hey im chillin right gettin ready school mohawk kidd,positive
la unified summer school drastically cut due ca budget cut sad,negative
girl youre crazy love hahaha got yo lp chap,positive
cant sleep happy fugees keeping company,positive
haha chocolate always knew heart stomach wait till try truffle,positive
haha aww hun bet creative,positive
resistance futile needed pretties knit,neutral
wheres uk love,positive
aww cant wait back la,positive
wave back good day,positive
damned hordies,neutral
joined twitter hiya world,neutral
plan weekend include working paper driving guy airport wont see wks,neutral
awww im sorry hun im sure didnt purpose though seems sweet maybe hour thing,positive
relaxing bed go sleep nice get house tonight,positive
energy steadily increasing thankfully cough isnt going away,positive
course id send dont think would survive trip,neutral
back home great time,positive
yay got stuff rygegrejdk perfect taste like banana apple,positive
gotta say im little jealous,negative
gah macbook pro getting frickin hot sitting table nothing,positive
im lookin email man photo spray painting wroclawpoland kosmo httpbitlyeovvn,neutral
coola productive day got spot extra feature film filming tomorrow awesome week around,positive
love haaaaair,positive
something like,neutral
freeagentapp free trial ran today cannot subscribe abby accidentally canceled card still waiting new one,positive
uuuugh hate everything,negative
yay friend glen im like,neutral
andzi thanks im way,positive
huge spider crawled past huge,positive
everyone say,neutral
dunnoi thought funny,positive
haha sorry past bedtime,negative
saddens youre youtube changed like every youtube kid used different,neutral
hallooo bayernhallooo stau,neutral
also strategic plan map bus strategic need deliver value time waterfall,neutral
yea feel like im bein ignored,neutral
dang hour drive bad daughter st bday party hosted donnie,negative
boy going movie wish didnt feel like,neutral
spyed princess anne today listented friend cooking perfect evening working suck ob,positive
dougie coffee there coffee hahaha name come predicted text pretty awesome,positive
awsome thanks jocant wait,positive
hey glad friday happy ate bad apple,positive
penssteigyno politics hunthe obamas watching hockey,neutral
party wiped dead stuff,negative
badbooks dont know bother,neutral
miss vlogcandy,neutral
next show upcoming one really want see guy,positive
haha need get better shape first cageball thursday dead sofa whole evening,positive
dont associate fake ass,negative
still page one google still cant quite believe spent cent get page one wow nextmmmmmm,neutral
poor kitty there nothing done hopefully youll least able find good home,positive
week palm pre come centro dy temp phone contact arent transfered yet sadpanda fb,neutral
wooow havent charged ipod touch day today still alive thats coolio,positive
free unlimited ringtones httptinyurlcomfreeringring usa awesome iphone,positive
beautiful morning time get enjoy sun,positive
hmmm realizedi didnt bday cake birthdayboo hoo,neutral
fun httpbitlyplnm,positive
lol thought pretty funny,positive
jus skinned knee wat hurt lyke hell tho always tha little one hurt tha,negative
professional,positive
there fricken prisnor trans outside r hotel far,positive
jamies free view dead,positive
nah understand cant cancel wanted come,neutral
laying bed texting good night yall,positive
anniemay omg fair,positive
really bahaha love relate people haha,positive
sweetie,neutral
gotta buy onesies besties lol ah yea club grand ol time,positive
awesome,positive
hello everybody ti cloudy day amanzimtoti today,neutral
stressfree way,neutral
fuuuuuuuudgeee burned finger oil hurt,neutral
great day yesterday good win forest celebratory staying drink trip unsuccesful bbq stella scream,positive
omg im buying dvd yeahness another good movie also thanks movie buddy,positive
welcome dk jaoo,positive
httptwitpiccomxlm hate parked car get hit,negative
one taken earlier week httptwitpiccomwb,neutral
two dozen rose sent overnight delivered morning found recipient town sad,positive
praying humble always dangerous answer god give grace,negative
hall gutted wasnt lmao think im obsessed bahaha,positive
got back im absolutely exhausted hour work,negative
bored nothing,negative
big hug,neutral
subwayyum,neutral
ooooh headache got go work,neutral
httptwitpiccomjbba ohhh someone like play food heehee,neutral
ha fun think ill rewatch part season todayin preparation morrow night,negative
lol vat insider,positive
tired,negative
didnt sleep good last night woke another bellyache whats wrong meeeeeee,positive
wish company,neutral
gorgeous day hash around waterley bottom wonderful name village quiz mistressing porto evening,positive
wanna go extra show really bad,negative
blast im lmhr tomorrow sam running could see could join next week,neutral
go one n smirker cheer dave aka jak aka best chest ever httpblipfmjjcc,positive
earth dont none u walk water im nerd trying find way thru life lol,positive
every saturday till work suck friday monday july th either,neutral
cut finger,neutral
go garden weeding mulching cutting anything else find,negative
gonna eat something feel horrid need hug,neutral
happy anoop day monica,positive
prob hun,neutral
well tomorrow miss,neutral
haha sure local youd fight,positive
car possessed wont stop honking,neutral
actually im supposed w dad cousin cousin trouble though never get together,negative
didnt get qdoba today sad,negative
thanks recommendation following,positive
yeah physically moving apparently well reporting directly mr hayward,positive
hype friday raining outsideno rain day rainin time kickitmr sun trippin,neutral
got home dinner mommy new grandma id rather hollywood right,positive
would easy user manual enough claim bike,positive
accidentaly slammed finger trunk,neutral
uhhh yet maybe dm inbox slow ill let know show,negative
augh fever gone end missing weho clubbing tomorrow night going pissed stupid boytoy gave plague,negative
realization today made sad least healing begin,negative
httptwitpiccomn dont like,neutral
im comfortable announcement,positive
ferman thats weak facebook fail,negative
oh dear u serious one prevent bite im itchy distracting editing sigh,negative
double cheeseburger fry golden archesi sicker dog tomorrow,positive
doh im inside job lolzor,neutral
sad fitness center reopens zumba class anymore found today last class closure,negative
suck,neutral
ouch,neutral
tiesto vicky park excellent,positive
morning peep need get know ill around httpblipfmjtyh,negative
ah would explain italian colouring,neutral
yepraced round car bikesits min awaydont av much motorsport nowits plane n chopper,neutral
mk mentalityi think,neutral
u planning cardio hr thats reasonable whatcha last night,positive
travesty people said theyd think involving joss whedon,neutral
hate costco always cost u much money,negative
gant popularity contest think twitter help become trendy,positive
get ready tom gotta go make sure he done anything stupid ill tweet later,negative
kinda want smack darn skeleton though,neutral
ahahaha happens time poor angela,negative
seriously getting hurt day national joke,negative
spent hour looking blog topic ended inventing grrrr httpbitlyqrzy,negative
came back nice bike ride family refreshed thanks shower,positive
hate ac doesnt work hot,negative
class really long im really getting hungry,positive
missing mr mcfox,negative
sing store wont work,neutral
bff chrissy glad got dog lol stomatch hurt,positive
enjoying new car,positive
kay morning hows day hope youre another lying sun,neutral
meee penguin wallpaper backround phone computer p ipod touch twitter,neutral
