cleaned_text,predicted_sentiment
thnx babe call u finish,neutral
well first tweet today failed lol back sleep bacon egg hard choose,positive
go cobracam idea,neutral
daughter went bday party today caled grace cakesthe little girl named grace made cupcake,negative
lmfao yea anyone please really pretty,positive
okay kool might touring summer long make happen,positive
dont let queer boy donate blood,neutral
inspite spam cant stop losing twittergadget love twitting gmail,positive
ive thought several time got good friend,positive
miss,neutral
punkrobot wtfwinter isnt due til monday freezing,negative
asks thnx griting take care god bless httpplurkcomprqo,neutral
came back bishopstorford went aunt wedding party way fun got see cousin year,positive
hope feel better soon check cool backround profile,positive
second wish rained,neutral
euh got ldap schema error oh,neutral
still courthouse happy job sad one,positive
gant popularity contest think twitter help become trendy,positive
goood dayy beeen shopping didnt get wanted though best friend comeeee homeeee xd ily shannii x,positive
ninja sushi lunch dominick sour gummy worm,negative
happened,neutral
omg im buying dvd yeahness another good movie also thanks movie buddy,positive
yeah point please dont make feel worse,negative
unpacking new toy arrived studio right called tc finalizer cant wait check sound,positive
apparently request guest,positive
oh no tv broken red standby light anything checked plug fuse inside,neutral
im joining twitter lol,positive
say nicest thing,neutral
havent seen video last day hope everything ok,positive
sad saying im fat tear,negative
anyone else bad friday fun day today,negative
sad day found first scratch car,negative
dont ticket boyfriend isnt might rain im budgetboo tho,neutral
lmaaaooooo horrible poor thing,negative
people mustache get super power mustache fair,positive
terrible trouble sp word child would drop pider pade etc needed lesson bad memory,negative
meeting stranger lol alone vega amazing,positive
aint ur ff list im hurt,neutral
cried eye watching girl last period hahah,neutral
happy mommy day,positive
home relative sissy posted pic cupie cousin audrey,neutral
geoff posted boo coming home tenerife boo httpboofmb,neutral
oh girl aidan,neutral
sure like way learn new language prefer location practice ask q get answer,positive
creating business u france look quiet easy,positive
wish would send bruh dm wont til dont waste erection bot,negative
messed hope day get better,positive
snlyouve gotten better keep,positive
hey twitter friend tho,neutral
tonight boring,negative
downloaded music video ipod,neutral
spent hour looking blog topic ended inventing grrrr httpbitlyqrzy,negative
gnight twitterverse much twitter luv httpblipfmyvnd,positive
krys running mud bath nice french food napa w jimming,positive
probably he still married joan perhaps,positive
dumb reason dresser sticky top another reason family history book got attached back jacked,positive
feel like drinking wine dont,neutral
happy star war day,positive
lmao ummm duh gurl need buy vnecks like em,positive
southridge moved week later cause swine flu think,neutral
yepraced round car bikesits min awaydont av much motorsport nowits plane n chopper,neutral
today productive gym nowlots lot writing later,neutral
thats funny cute kid,positive
raining fine rain u know fine rain wet,positive
cant sleep happy fugees keeping company,positive
nice day im gonna stuck inside night,positive
good morning driving work,positive
going home get clothes,neutral
love gossip girl episode wrath con,positive
understandable yah leave monday ill gone youre chi,negative
dm never sent,neutral
thedailyshow week,neutral
epic moment hahahha swear really wanna see,positive
watching dr phils special marriage sad ignorant people,negative
want eat entire chocolate cheesecake,neutral
dont want lose wisdom teeth make wise soon without trace wisdom,positive
would love ride superman right,positive
maybe wont getting call,neutral
horrible sleep rather bad mood,negative
man cant stop freakin hungry,neutral
twittascope rocking sock go away already,neutral
sound fun,positive
oh wish chick filas im definently jealous,neutral
la said wipe slate clean jelly,positive
perfect day throw back head kiss good bye love cheerful httpblipfmjckp,positive
go cruches next week,neutral
poor unfortunate soul dont appear pant httpblipfmqvz,negative
aww feel bad lil look like know whats coming,negative
cavs easier route denver,neutral
say happy mother day mom httpplurkcompstkr,positive
hi im jonathan spotify month u cn unlimited music w interuptions luv r little chat j dont leave,negative
poor kitty there nothing done hopefully youll least able find good home,positive
zenrelated stuff go flow easy accomplish started rain rain flush away,positive
anyone want stop carls jr bring chicken club barely walk,negative
im bummed didnt get tedx ticket,neutral
playing see againmiley cyrus shop,neutral
httptwitpiccomjbba ohhh someone like play food heehee,neutral
vote every day,neutral
early bird see,positive
thanks awesome,positive
feelin somewhat ugh dont want exam oh well day baby,neutral
ive gotta watch stealth skillz always forget,neutral
oh lot people starting tweet hope could still read multiple tweet philippine tour please,neutral
real world apparently involves lot less twitter sorry,negative
awww thanks jon appreciate,positive
go near hive theyll tame,negative
haha thanks inane grin grading student really fascinating semester,positive
cantttt grandparent,neutral
outside playing ball dog hot sweaty,positive
airport philadelphia moment waiting plane leave hour six hour plane,neutral
pissing letting follow ericka,neutral
really ur brave lady walkin around lion book suggestion,positive
oh dear thats good hope get smile,positive
france gonna spend time sun overcome negative reaction yep netherlands good luck,positive
major fail since asked,negative
photo amazing great subject way get people educated darfur hug u inspiring woman,positive
wow nowyour really kickin careys butt competition see soon,positive
huge spider crawled past huge,positive
fry arizona thats thing ate today feeeeeed meeeeee,neutral
happy anoop day monica,positive
dared go back look vid made may take,neutral
totally forgot dgree show et al ensconced home wine ready bed,positive
rothlisberger thats awesome bookmark,positive
effort though httpbitlymcov,neutral
feel like im house arrest,negative
going miss roomie longer roomy starting tomorrow,neutral
whenever mama let,neutral
feeling like watching twilight enjoying,positive
dont think sister refusn get ticket next week,neutral
blake sea water sandbox la cordova cant rez object autoreturn min,neutral
girl youre crazy love hahaha got yo lp chap,positive
still page one google still cant quite believe spent cent get page one wow nextmmmmmm,neutral
sigh guess gonna meet today,neutral
night,neutral
whenever rain hard get motivated,negative
really bahaha love relate people haha,positive
im dentist scary people,negative
great ill check get work block sims work,positive
also travel backpacking hope enjoy pic video,positive
suck save,neutral
haha ofcoooursee pretty much must plus dress night jst added incentive,positive
finally im back online miss lappy many thing follow starting ning haha,positive
enjoyed steak quesadilla kinda mad cause im gonna miss laker game,negative
go first twitter twitterberry application blackberry bold cheer long live smr,positive
yeah like,neutral
ahh seen drop tossed thinking turn,neutral
dunnoi thought funny,positive
httptwitpiccomwl haaha bang kinda long oops,negative
still class loader even custom assembly loader,neutral
think tricked ankle cardio yesterday im getting old,positive
crazy live small world u live covina huh thas im back chino goooo,negative
got cofo late didnt close today close mondayback meet buyer tonight show home,negative
jareds wearing green shirt sparkly eye yee hear asylm highly disorganized hang,negative
hey whats u like new episode jonas,positive
cant get rwitters phone phone suck,neutral
well almost good day guess retry tomorrow,positive
googledocs folder instead label like gmail kind like label,positive
know love nicholas braun think hell make okay cameron dont wanna see either,positive
run join youmiss running,neutral
yet sorry,negative
wheres uk love,positive
yum mother day lunch food business burnside delicious gorgeous day,positive
finally sickness,neutral
didnt get text,neutral
happy mother day mama bear,positive
think left conference feedback sheet bag oops say excellent everything found,positive
supposed go boatingsongwriting cape cod cold rainy,negative
want wish mommy happy mother day,positive
justin timberlake totally rocked snl tonight ooh happy mother day another hallmark mkting tool,positive
sorry found member preview sold awhile open noon general public,negative
happy mother day mommy exspecially mine love mommy,positive
hall gutted wasnt lmao think im obsessed bahaha,positive
u witch im upstate hick dry county alcohol ethnic food im cry,negative
hey jodi whats upugg im bored made sundae c u monday hahaha rymed loll cu school,negative
yes pm pm right,positive
looooove star trek run family,neutral
pickle lol thank much hope youre great day,positive
yeah much appreciate,positive
sorry dunners saw tweet totally let im sorry babe work till boooooo,negative
blahh im tired gotta go airport pick mom im bored upside im listening backstreet boy,negative
forgot power cable home today,neutral
iphone soon theyre adding autofill logins wont type everytime,neutral
accidentaly slammed finger trunk,neutral
woke updont want go work,neutral
sorry hear laptop trouble hope get fixed lappy back norm,negative
lunch boringgg driving school today ugh hope better mr dodd,positive
everything going wrong happy day,positive
morning hope lovely holiday monday whatever goin,positive
would u get trouble follow logic sorry,negative
goodmorning twitter oh gosh woke soooo nice lol oh hai thar twitterverse happy mothersday everybody especially mine,positive
pooof nirvana work httpmylocmetdl,neutral
sometimes twitter make feel like outsider,neutral
living ballarat,neutral
blue oyster cult love night thats friend around httpblipfmjdb,positive
long way sea unless came gloucester dock,negative
home school today,neutral
mom said,neutral
thats sad kind mess getting weekend,negative
got home morongo havin corona buck woo lol wish woulda instead,positive
haha need get better shape first cageball thursday dead sofa whole evening,positive
mother day today,neutral
chilling baybee sarah love girl,neutral
im surrounded negativity good thing fly guy give hope something better thank u jesus,positive
feel like right one month school left fml hard,negative
think come tomarrowbecause really really really looking foreword seeing youplease come,positive
parking meter computed plus got jipped free minute button didnt work,positive
im comfortable announcement,positive
dw never,neutral
use mozycom,neutral
math left day dmv,neutral
hurray summertime start today meaning work pm instead august yay,neutral
haha awful think everyone hate sound voice hear played back know,negative
got tattoo fixed today didnt hurt much thank god cant wait get next one,positive
watching take two classic lol,positive
baby alex miss ily good night,positive
applying part time job lmao hopefully someone need help ap,positive
got back hangin bestie pool soo nice,positive
last leg travel today totally exhausted thank goodness ed keeping company,negative
damned hordies,neutral
finally going home long night ready crash awesome dream,positive
sunburn line back tag sticking tank top day ugh need aloe vera went park,positive
love see,positive
theyre mama always bake late get worried mixer gonna bother people,negative
wellity think ima gonna clean room need read good book sense sensibility come beat lily,positive
hi ty good morning happy mom day mom love entire family adding fb love em sweet,positive
spyed princess anne today listented friend cooking perfect evening working suck ob,positive
ahhh others like hoppusday etc im spazz,neutral
found best songd stuck head relient k songsi know every word finish,positive
may email tech support ppl thats odd,negative
sad,negative
yeah replied meant take photo drink laaazy didnt x,neutral
he even fat huh he friggin huge freak,positive
feeling good head work bad shift fun dont feel well hope go fast,positive
wonderful get meet though,positive
watching cavs,neutral
missing bkk na,negative
wats gooood miss yall already,neutral
sorry listen bat gd dude never got tell bat amazing,positive
yet understand sentence u ever typedbut kinda funlike learning foreign languagei love quote u,positive
wst wheater austria bad whole weekend sorry,negative
baking cake momma,neutral
greg back top love nascar,positive
wordsaftersex ow rug burn,neutral
sure wish cat would stop hiding,positive
ahh feel good played guitar hero month suck haha,positive
bored nothing,negative
watching nemecek go computer fun lol keed norm fun,positive
date like man dont get played like,neutral
done facebook jamlegend,neutral
guess potus able digging folo s nomination he good po,positive
yeeee wassup,neutral
yea fun divea bit scary sometimes fun u like diving,positive
know clean clothes either washer kitchen kitchenfire,positive
gorgeous day worked master gardener plant sale trimmed smoke bush writing,positive
im missing one diamond earring make sad,negative
envy everyone aots,neutral
want candy,neutral
marie hey beautiful whats,positive
never get followfridays,neutral
actually id prefer rum gin dont ive preferred much previously,negative
kinda want smack darn skeleton though,neutral
official liberty grand new fave reception venue blog shot tuesday,positive
feeling special lookinghim first guy give flower,positive
checked there new comment friendster,positive
junk food movie tshirt sweat way tonight would better someone hang,positive
want experience snow dont snow suck,neutral
twitter mean w pic lately stole mine entire day,negative
also strategic plan map bus strategic need deliver value time waterfall,neutral
boffert,neutral
least large vocabulary benefit writer hope youre well sister,negative
cute dog,positive
httptwitpiccomwhd pretty picture,positive
yup day older,positive
ouch,neutral
chroma key coolness cumulus seminar going online couldnt see live feed,positive
let know go im praying ummmph still cant believe,neutral
gosh today suck didnt get tax return im upset cuz miss best friend wedding washingtonlame,positive
thanks feedback surreal life surreal oil,positive
long stressful day coming tomorrow write response eoi colleague job,negative
great meet thanks use umbrellai hope ate got sleep,positive
going crazy super head ach hell law ben since morning ahhhh,negative
hope roommate good morning without tp soap,positive
wanna longboard raining ughhhhhh,neutral
haha nice ring let get used ok iloveyoutoo,positive
missed sun busy gettin hot bothered shop make weekend x,positive
perfect way end totally boring day sleep goodnight,neutral
love girl rock,positive
lol got used talkin ya,positive
alexajordan sigh come sac please miami central valley,neutral
think wireless router dieing,neutral
gave mommy mother day presenta purple ipod httptwitpiccomwcpt,neutral
gymnastics time last night teaching friday evening class new summer schedule start next week,positive
watched one day middle playing really doesnt hold,positive
even saw news feed archie website cant believe hed choose veronica im disappointed,negative
im day late happy birthday hahahaha,positive
u go mariahnever listen hater fan long grateful ur music cant wait album,negative
k much appreciated yeah sure challenge great reward wouldnt trade anything,positive
ill see yeah guarantee dont want wait long seeing fruit basket hahaha,negative
u watch hill london u realise tourture week week late watch itonlinelol,negative
may please couple promo code ea apps thanks much,positive
bug attacking laptop,neutral
guy rocked tonight la love ya guy cab wait see another awesome show soon,positive
im yaoo sonnnny,neutral
teacher appreciation week making delivery instructor morning,neutral
great weekend stuttgart befahconference wonderful people nice discussion lot fun together strong,positive
love good girl go bad,positive
arrested development sad,negative
lmao dont fake paris anymore look bio way cant log onto forum,positive
wave back good day,positive
andzi thanks im way,positive
mmmm lauren conrad eeeeep im going miss hill,neutral
truong sunbae bad jst scratch wht said im talking nonsense lol enjoy perfs,positive
samee well aint man girl obv nd lol aint special famous rich wish tho,positive
finishing studying lsats watching vh soul,neutral
still light still think mine,positive
double cheeseburger fry golden archesi sicker dog tomorrow,positive
got heart ripped love guy,positive
subwayyum,neutral
ahh dang course better email back fast,positive
missed today greatest day ever im burnt lmfao nice tan ride hr,positive
except im site near airport dixon lil starbucks gps head hehe,positive
awww im sorry hun im sure didnt purpose though seems sweet maybe hour thing,positive
hey pinky ordered stuff site gave got yesterday mail pretty thanks,positive
ive normal ppl consider night problem going sleep nightmare waking,positive
would appreciate would big tim kaul fan ya know,neutral
wow early best conversation,positive
time play,neutral
mary receiving text,neutral
foster still working,neutral
wish drems could come true,positive
good mornineverybody happy mothersday every mom,positive
free unlimited ringtones httptinyurlcomfreeringring usa awesome iphone,positive
leaving dont miss much tweetbeaks,positive
really hurt really suck dont know fix seriously,positive
twitter,neutral
chilling outnow boy gone time relax,negative
funny want something even someone else cant anymore hahaha next,positive
lost follower oh well probably one mute one anyway,neutral
wish blog working properly great followfriday blog post wanted showcase,positive
lunch deakin meeting prof didnt go badly,negative
would get lot done could list item etsy phone everything upload pic,neutral
become mother slave,neutral
aww thanx andy,positive
hahahahah would chief contributor lol,positive
today fun meeting boardies acoustic set soo phenomenal,positive
wish could meet u think happen someday,neutral
omg taylor london near scotland please come visit glasgow,positive
itsurely dear posted presentation swine flu yest got downloads dayi feel great,positive
joined twitter hiya world,neutral
im listening,neutral
drum made people set give back,neutral
looking forward new week presentation book store dillingen today interesting sale seminar,positive
hello hope flu,neutral
four hour baseball game least crew spent much making cubby look bad,negative
fun ate masthanks good luck w ur showing tomorrow,positive
wow sexy,positive
want im tc say wanna make exception,neutral
really wish could gone weekend,positive
degree gross sky thunderstormsperfect match mood lol,positive
oh joy elmo potty video,positive
yay live demo rhodes loving euruko,positive
safely say wont euro winner week,positive
hm seems blog marked phishing site,positive
really need invest elliptical machine running shin splint suck,positive
thats nice cousin left house daughter daddy girl sweet,positive
nah mine one without finger,neutral
enjoy know,positive
lack go hunt lol refresh memory one clue,positive
hot hate summer harrymcflytosing,negative
httptwitpiccomyj say mystery science theatre mean anything,negative
ticket,neutral
hey song would like listen,neutral
definitely going sold f heavy think ill get away twedding,negative
happy mother day yall boy,positive
got nap relaxing night,neutral
awww thanks jon yr old told sleep clean house best mom day present ever,positive
thinking morning dont worry soon pass,neutral
im one tough momma put together swing set tammy allll today hubby would proud,positive
greenwizard ah ha cool look closely get proper sized screen thanks,positive
im glad im fine thanks another night full,positive
im home videoke funtime yey got load ticket nyahahaha,neutral
fyi lot people following unfollowed lot yer kinda boring really helpful egrowth,negative
see,neutral
argggggg car crash tv sooooooooo horrible see like bgt,negative
oral left learn oh welllll least dont write,negative
badbooks dont know bother,neutral
saw something real sad lunch dog two broken back leg,negative
dont watch wish tv month love guess wont win though lol,positive
pearlman mow love mow,positive
realization today made sad least healing begin,negative
would rather bride last minute wedding stuff instead stuck behind desk someday,negative
hubz company organising,neutral
thats,neutral
heard lot program like go large chain learning center sorry,negative
keep getting pet day heard weekend fab wedding soon,neutral
plenty good trivia wikihow trying help hope u got sleep,positive
seriously getting hurt day national joke,negative
think limit letter really fair would better,positive
gardening stuff ordered got returned sender damage need work get garden centre,neutral
nice dinner mom ive started chicken roll going cook overnight rest ill tomorrow,negative
know suck anyway get fake id something,negative
two page assignment weekend go chance relaxation,neutral
say,neutral
mcflyandjb okay x,positive
yeah physically moving apparently well reporting directly mr hayward,positive
lol remember car accident,positive
baby man year old week today he growing fast,positive
today last official day uni balancing uni work music til october atleast,neutral
im sure stracchino sound good,positive
gudluck,neutral
dont worry happy ryan,positive
hubby vet get animal like child best hope ur biz going well,positive
im packing angry eye incase,negative
handz well know kind guy idiot,negative
working,neutral
r sending tw business ppl mainland return favor chinese police representative tw,neutral
writing english original writing storyyyyy listening little respect erasure aaaaaah,positive
need job pay hospital bill sick lately,negative
hai,neutral
wassup u morning,neutral
eyedea love lastfm find lot easier content spotify add httplastfmuserankey like,positive
know gotta wait earl think late wrong,negative
yay friend glen im like,neutral
week week gym worst headache,negative
depends drinking drinking many mate joke fails,neutral
need cancel appt home washing machine repair man sorry,negative
porridge taste cba today man,neutral
rain oh hell way tell,neutral
ugh people fancy trip italy im slaving away computer,neutral
bought italian horseshoe charm dragon seems strong,positive
officially st one say happy mother day love,positive
want van basten b milan manager,neutral
working way bottle excedrin maybe twin,neutral
spoke yesterday u didnt respond girl wassup though,neutral
sister said yayyy hannah hoedown today haaaa hannah hoe apparently hoe,positive
one female server tell look big pant worry night long lol,positive
sleeeeeeeepy im goodnight twitterverse,neutral
hanging san fran airport got hour wait go anywherebtw sfos wifi garbage,neutral
awesome,positive
happy mother day mommy,positive
didnt get qdoba today sad,negative
loll whats boyfriend supposed mean cold,negative
happy mother day mother good enjoyable day,positive
curing le hangover epic night bruised n battered hectic gokarting session pretty satisfied thank much,positive
thanks teflon liver scottish raised whisky,positive
unless invite come beta key im going much help,positive
nope im bored hungry,negative
miss place miss wegmans even whole food wegmans,positive
well pray,neutral
attempt sync facebook twitter seems failed,negative
coola productive day got spot extra feature film filming tomorrow awesome week around,positive
hoe none,neutral
know sun even ive hr tossa decided sleep side cold nose,negative
thats mess ill look next week,negative
bun awesome thank,positive
tifullytragic london last night give hour im sure appear,positive
thought albany couldnt worse aos leave,negative
push amazing,positive
mraz httptwitpiccomiq popcorn crazy dude still adorable,negative
thank yyyyyyyyyoooooooooouuuuu,neutral
im jealous want go ny,neutral
writing paper lot harder thought lol,positive
awwwh sorry well glad youre closer u though,neutral
ops sorry queen mom,negative
wellity think ima gonna clean room need read good book sense sensibility come beat lily,positive
miss neice cant wait see bad n grown lol,positive
hi nice meet,positive
kev im stuck westgate working,neutral
super bummed whitecap game plan friend fell throughi need home let sitter go,negative
im leaving yet,neutral
window user tip make default install take gb knew would big srsly,neutral
aaaargh help conspiracy lol today lizzi,positive
like,neutral
stu lantz awesome miss chick hearn tho,positive
oh great,positive
much stuff car feel mpg going toilet,positive
read phone book hugh clancy hugh clamentsnope hugh clap poor holly though shell grab pity vote like shark,negative
wow one nicest patient ive ever he deplyod falougairaq nweek,positive
came back karaoke eating dinner emily sooooo much fun,positive
dreading work tomorrow wish one day,neutral
sorry hear terrible news thinking x,negative
still got one year tmo tho might get new bb curve concerned abt apps batt life important,positive
omg got sleep neighbor building deck theyve starting im tired feel like took benadryl,negative
aww bbq thats fair chocolate,positive
hug back also look,neutral
awful could believe first sad,negative
hey thought ud likely im stressed really dont know x,positive
actually think im mean heri feel sorry,negative
ipod headphone gone kaput wanted buy new one buy bose instead work apple,positive
greg pritchard robbed place final bgt cry baby face got instead,neutral
yeah getting show interesting process key following least thats ive learned far,positive
im back wooooo want press release,neutral
every saturday till work suck friday monday july th either,neutral
headed waterfront quick drink office peepscorsen building course booked suggestion,positive
one taken earlier week httptwitpiccomwb,neutral
jus skinned knee wat hurt lyke hell tho always tha little one hurt tha,negative
hope get better know best medical attention let know right,positive
comment well knowto reply,neutral
okay im dedicating th tweet fact im going apple store huge crack glass screen,positive
eli er pricked finger blood sugar trying cry httptwitpiccomzq,neutral
mr tweet think,neutral
ahhhaaaaa gunna get straight back,positive
way great word boy dont get oh bday,positive
becoming tough race linda indeed talented someone go every week cut two week,positive
guuss last game moz,negative
never invite,neutral
picture burn taylor swift great song,positive
trying blend know suck there harm trying,neutral
awwww internet right drummer boi,positive
cant sleepso im watching hgtv im afraid infomercial take,negative
yeah thats everything becomes difficult generalisation break easy problem,negative
hi one kiwi artist another kiwi artist,neutral
would join shopping work weekend six degree seperation confsuing,neutral
woooooooooo coming nottingham point lovelovelove,neutral
jonas demi miss niiick soul asasgdygyasdgy,neutral
great wedding band awesome played ton great song food,positive
one day hug come finger still crossed,neutral
degree crappy ac,neutral
going watch boy striped pjs hope dont cry,neutral
get motivated fact know ill wake productive go sleep though,negative
arrived singapore,neutral
instead laying degree ive gotta give fourth grader misoricesushimochi hour fml,neutral
relaxing bed go sleep nice get house tonight,positive
checked commented,neutral
thank god didnt go,neutral
mhmm idk thought showing freaking ppl hehebut yeah totally understand u guy vn sound cool,positive
aww sorry may lord give strength rest today,negative
yeah quite kid school got swine flu close school kid,neutral
yay power phone charged hot,positive
happy birthday david,positive
big hug,neutral
feel sick solo tonight vocal jazz concert great,positive
woke aspirating stomach acid im praying dont acid reflux one time thing,neutral
ahoy yeah really want one probably winter may able get one,positive
feeling lonely need good friend,positive
want move qld already cold weather killing,negative
third driving lesson back office,neutral
im suffering internet work bad site hosted russian server available,negative
ooh really well know youre always welcome,positive
sick tired sick tired,negative
going look bunch open home today get feel market think ive got lot saving,neutral
hi dougie im fan thailand im film luv ur song much,positive
lb still huge achievement though,positive
enjoy silence,positive
doesnt look good go burn lampions,positive
losing makeup bag tragicluckily keep diff place gotta replace bare escentuals tearrrrrrrr,positive
girlfriend still like sesame st,neutral
id respond going,neutral
wanna say happy mother day mom including mine love u mama,positive
none yea last weekend crazy think partied hard thats im sic,negative
lol went okay far tell test today geo zoned got like,positive
swimming tanning heaven blasted music tanning world,negative
super hungry domino martabak tempting fattening,positive
texting,neutral
greenville one last time moving md soon well back eastern carolina,neutral
suddenly remember memory ohhh please,neutral
created account get chance chat admire youre amazing inspire write,positive
lala little girl love new song ive answered u love freaky twitter guy,positive
im getting reaction stroking cat welt hand caught claw,neutral
hello friend welcome twitter,positive
feel extranauseous sudden like stomach wasnt ready resume peristalsis event two night prior,positive
bed night every onee,neutral
day till th bday,neutral
well print cyk cymk,neutral
frustrated copying gig across usb stupid old server,negative
thats fair cant vote say voting closed vote everyday could vote like x,positive
welcome back japan,positive
im giving dont care mess life,negative
im bored musiicbox,negative
well atm anyway im managing co musical talent p horrible thing say bout rove,negative
one day hair weather suck sun,neutral
good night even though morning lol,positive
tomorrow mother day get mom dont gift tell love,positive
got overexcited pizza burned mouth,negative
im way see ive wanted see looong time,neutral
going fail art final fml far worst semester life school wise otherwise best,positive
tired,negative
gotta say im little jealous,negative
seriously neeed study,negative
way work im hungry,neutral
everyone constantly retweeted would make,neutral
came back seeing boat rocked amazingly cool movie definitely getting dvd,positive
back home preheatin oven popping pizza,neutral
gonna text u ask puff meant,neutral
want trip boston next month need additl motivation save beloved daughter want go x,positive
bad im sitting watching pen replay getting excited think coffee know,negative
finished capital transaction exam another monkey climb back looking forward glorious mood tomorrow,negative
wayyy thats funny well sure missing ever since left feel next visit,positive
seen load new photo stuff new moon cant wait lol l taylor lautner lol take shirt time yum lol,positive
got go shopping wife tescos knew day going well,neutral
weekend also great two friend julia four day,positive
yes thinking staying office slightly less ridiculously hot,positive
im thinking tonight plan gonna happen sighsadface shouldnt surprised,positive
another account,neutral
funny,positive
shell never know said cuz doesnt love twitter,positive
sooo readyyy summerr babyyyy,neutral
im partying tonight,neutral
nope san leandro marina hope youre well,neutral
happy mother day love mom,positive
sometimes people never learn shut stop talking,neutral
gonna celebrate mother day family gonna start partying tonite,neutral
spent time exploring atlas hercules crater refinding thing uma oph ser caput saturn w fogged eyepiece home,negative
emo moment many tear love family sorors,positive
exception short dude larenz fineass tate yum,neutral
awww wish younger si older one bet younger si love much u,positive
sound foreboding,positive
oh monday also mean new american dad glad watched show funny make monday even better,positive
never relaxing weekend allahpundit,neutral
today busy day exhausting,negative
cant wait next twitter,neutral
gonna lazy day today,negative
aww lovely pic,positive
going sleep goodnight xoxo,neutral
like cheesecake brownie miss cheesecake brownie walmart closest la doesnt em,neutral
aww im sorry honey stink,negative
go garden weeding mulching cutting anything else find,negative
working away hopefully stay nice afternoon evening possible bbq weather,positive
httptwitpiccomizu wow thats cool,positive
haha say two week please continue bre great,positive
egg white grain toast yup,neutral
pretty hope win,positive
ciara great snlkimyou mentioned snl tonightjustin really good also,positive
moment foward imma spend money wisely dress shoe shopping every week pigging fav rest,positive
people dont get fender bender way school doesnt happen hahahahah,neutral
basically want world kno best best friend love,positive
wanna leave work already feelin day,neutral
miss boo another note im soready game come tonightfox grill anyone,negative
ytony didnt bring suck,neutral
haha sure local youd fight,positive
getting ready graduation party id much rather hello marquee dane cook,positive
back buisiness,neutral
beautiful morning time get enjoy sun,positive
simple greeting unexpected people actually lighten mood ever happen,positive
nd last episode jay leno itll never nite twitter,neutral
found morning,neutral
ok finished mikado shut lol,positive
morning checking still find twhirl,neutral
maaaaannnn holidayzzzzz,neutral
one looking dont know yet follow anyways good guy,positive
happy birthday tooo meeee happy birthday tooo meeee,positive
hi everyone miss much muahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,positive
wish birthday massacre would come australia think said theyre thinking tho httptinyurlcomplfch,neutral
extra got ready work nothing studying night,positive
go room first time week youre cleaning,positive
sorry fell asleep first,negative
love thank much saying hi jenn laura yesterday arcadia friend shannon surprised wthe vid,positive
really cry shame,positive
haha love aimeeeeeee,positive
dang hour drive bad daughter st bday party hosted donnie,negative
bored headache,negative
listening jello biafra work,neutral
good morning going kickbutt day,positive
dustbin baby cannot wait x,neutral
great service find time lag time posting appearance twitter small downer,positive
