textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²)
545d3acace,sad day!!!!! Love you MaÃ¯Â¿Â½ (8 years ago!),sad day!!!!! Love you MaÃ¯Â¿Â½ (8 years ago!),neutral,noon,21-30,Angola,32866272,1246700.0,26
894c9ada33, I haven`t talked to you since the last day of school!  that`s no right.,that`s no right,negative,noon,21-30,Moldova,4033963,32850.0,123
18170c1a3c,Time for a clean up.,Time for a clean up.,neutral,noon,21-30,Fiji,896445,18270.0,49
3dbc0f7847,  but i love your haaaaair!,i love,positive,morning,0-20,Greece,10423054,128900.0,81
4da2c62c50,will miss jay leno ..,miss,negative,noon,60-70,Chad,16425864,1259200.0,13
037b1abfd0,  just wanted to say that I <3 ur music(both the scene aesthetic n Danger Radio) Hopefully i will get to see u guys 1 day,t I <3 ur music,positive,night,31-45,Kiribati,119449,810.0,147
b93f98a423,Think I have sunstroke.,Think I have sunstroke.,neutral,night,70-100,Turkey,84339067,770000.0,110
153329eb1c, lol thanks!,thanks!,positive,morning,46-60,Malawi,19129952,94280.0,203
5adf15c2b0,"desktop quad-core Win7 boot time = 2`25', laptop dual-core w/ SSD Win7 boot time = 0` 13' => SSD for desktop arrives in 2 days","desktop quad-core Win7 boot time = 2`25', laptop dual-core w/ SSD Win7 boot time = 0` 13' => SSD for desktop arrives in 2 days",neutral,morning,0-20,Indonesia,273523615,1811570.0,151
cea5677a2b, thnx babe  just call me when u finish it....,thnx,positive,morning,0-20,Burundi,11890784,25680.0,463
cc64054043,Well. That first tweet for today failed.  lol. Back to sleep or bacon and eggs? So hard to choose!!,So hard to choose!!,negative,noon,21-30,Montenegro,628066,13450.0,47
2694bff9fc,We should so go for the Cobra-Cam idea,We should so go for the Cobra-Cam idea,neutral,noon,60-70,Oman,5106626,309500.0,16
e26c7a0aae," My daughter went to a Bday party today caled, 'Grace' of Cakes...the little girl is named Grace & they made cupcakes!","My daughter went to a Bday party today caled, 'Grace' of Cakes...the little girl is named Grace & they made cupcakes!",neutral,noon,60-70,Togo,8278724,54390.0,152
2ab185373a, lmfao!!! Yea anyone?? Please?? We`re really pretty!!!,pretty!,positive,morning,0-20,Mongolia,3278290,1553560.0,2
17775140c5,. Okay kool... I might be touring all summer long but we can make it happen!,. Okay kool... I might be touring all summer long but we can make it happen!,neutral,noon,21-30,Slovakia,5459642,48088.0,114
1bf0493f22, They don`t let the queer boys donate blood.,They don`t let the queer boys donate blood.,negative,night,70-100,Honduras,9904607,111890.0,89
c0082eb0d8,Inspite of the spams.. I can`t stop losing this twittergadget. I love twitting from Gmail,I love twitting from Gmail,positive,night,70-100,Equatorial Guinea,1402985,28050.0,50
0ce534f141, I`ve thought about it several times . got a few good friends there!,good,positive,noon,21-30,Venezuela,28435940,882050.0,32
de99f08494, Miss you!!,Miss,negative,night,70-100,Slovenia,2078938,20140.0,103
6240f33053,"_Punk_Robot  wtf.....winter isn`t due til monday, am freezing",wtf.,negative,morning,0-20,Brunei,437479,5270.0,83
fdbde00c31,asks thnx for gritiNg    take caRE Too  God BleSS http://plurk.com/p/rqo76,God Ble,positive,morning,46-60,Congo (Congo-Brazzaville),5518087,342000.0,16
229db69277,Came back from Bishopstorford! Went to my Aunt`s wedding party by the way. It was fun! I got to see my cousins again after about 3 years,It was fun!,positive,morning,46-60,Latvia,1886198,62200.0,30
4f187e340f, Hope you feel better soon and check out my cool backround on my profile,Hope,positive,morning,46-60,New Zealand,4822233,263310.0,18
fce80792a8, I second that. I wish it rained more where I am,I wish it rained more where I am,positive,noon,60-70,Nepal,29136808,143350.0,203
5805bc215b,"Euh, got LDAP Schema Error  Why oh Why",Error,negative,noon,60-70,Malta,441543,320.0,1380
df7ee6a593, still @ the courthouse!     Happy to have a job... sad its this one!,Happy to have a job... sad its this on,neutral,noon,60-70,Libya,6871292,1759540.0,4
0a6b65cf6e,_GANT popularity contest and they think twitter will help.... and it`s become trendy,_GANT popularity contest and they think twitter will help.... and it`s become trendy,neutral,morning,0-20,Eritrea,3546421,101000.0,35
e17dc861e8,"Goood Dayy  Beeen shopping, didn`t get what I wanted though  But my best friend has comeeee homeeee!! XD Ily Shannii x",Goood,positive,night,70-100,Kiribati,119449,810.0,147
ae4860dc68,ninja sushi for lunch but dominicks was out of sour gummy worms,ninja sushi for lunch but dominicks was out of sour gummy worms,neutral,night,31-45,Honduras,9904607,111890.0,89
b81798ce06, What happened?!,What happened?!,neutral,night,70-100,San Marino,33931,60.0,566
2274e98d09,OMG 17 again... I`m so buying that on DVD   Yeahness for another good movie  Also thanks to my movie buddies :],ss for another good movie  Also thanks to my movie buddies,positive,morning,0-20,Ireland,4937786,68890.0,72
706510b794," yeah, that was my point >.< please dont make me feel worse than i do",worse,negative,morning,46-60,Sao Tome and Principe,219159,960.0,228
b924090281,unpacking my new toy arrived in the studio right now  it`s called TC Finalizer. can`t wait to check how it sounds !!!,can`t wait,positive,noon,60-70,Iceland,341243,100250.0,3
ddd476e4b0, it was apparently a request by the guests,it was apparently a request by the guests,neutral,night,70-100,Maldives,540544,300.0,1802
26b8f3454e,Oh noes! The TV is broken  No red standby light or anything... checked the plug fuse... now to the inside,Oh noes! The TV is broken  No red standby light or anything... checked the plug fuse... now to the inside,negative,night,70-100,United Kingdom,67886011,241930.0,281
b4c1e1aa74,im joining twitter  lol,lol,positive,night,31-45,Iraq,40222493,434320.0,93
4ac5fe22f7, you say the nicest things.,nicest,positive,noon,60-70,El Salvador,6486205,20720.0,313
53c1eefd9e, so haven`t seen any videos the last few days  hope everything is ok...,so haven`t seen any videos the last few days  hope everything is ok...,neutral,noon,60-70,South Sudan,11193725,610952.0,18
70eb969d45, how sad! are you saying that I`m fat?  *tears*,how sad! are you saying that I`m fat?  *tears*,negative,noon,21-30,Bulgaria,6948445,108560.0,64
aca204a50d,Is anyone else having a bad Friday? Is not a fun day today.,not a fun day,negative,night,70-100,Djibouti,988000,23180.0,43
887d2bda89,"It`s a sad day, found the first scratch on my car.",sad,negative,night,70-100,Belize,397628,22810.0,17
8e7982071c," -I don`t have a ticket, my boyfriend isn`t that into them, it might rain, and I`m on a budget...boo!  I <3  tho",I`m on a budget...boo!,positive,noon,21-30,North Korea,25778816,120410.0,214
417f0534e5, LMAAAOOOOO that is horrible. Poor thing,horrible.,negative,morning,46-60,Cambodia,16718965,176520.0,95
24f443230e,people with mustaches get super powers and mustaches. no fair.,no fair.,negative,morning,46-60,Egypt,102334404,995450.0,103
a2b0366a80," i had terrible trouble with `sp` words as a child, would drop the `s` pider, pade etc, needed lessons. bad memories",terrible,negative,morning,0-20,Cambodia,16718965,176520.0,95
25847e42d7,meeting up with strangers. lol. alone in vegas. amazing.,amazing.,positive,noon,21-30,Somalia,15893222,627340.0,25
21772a3cfb, Why I aint on ur #FF list? im hurt,hurt,negative,night,70-100,Ecuador,17643054,248360.0,71
f1f2fda39a,Cried my eyes out watching My Girl last period   hahah,Cried,negative,night,70-100,Iraq,40222493,434320.0,93
1eeef4c2e4,Happy Mommy Day,Happy,positive,night,31-45,Lesotho,2142249,30360.0,71
72d01e41f5,"HOME!!!  from my relatives. my sissy, , posted pics of her and our cupie cousin Audrey.  ???","HOME!!!  from my relatives. my sissy, , posted pics of her and our cupie cousin Audrey.  ???",neutral,night,31-45,Madagascar,27691018,581795.0,48
69b56ef745,Geoff posted a boo: Coming Home From Tenerife Boo  http://boo.fm/b25651,Geoff posted a boo: Coming Home From Tenerife Boo  http://boo.fm/b25651,neutral,night,31-45,Spain,46754778,498800.0,94
c977dd5d35, oh but that girl  but AIDAN!,t AIDAN!,negative,noon,60-70,Armenia,2963243,28470.0,104
6c417fb519," not sure I like this way to learn a new language  I prefer to be 'on location', so I can practice, ask Qs and get answers","not sure I like this way to learn a new language  I prefer to be 'on location', so I can practice, ask Qs and get answers",neutral,morning,0-20,Mali,20250833,1220190.0,17
65d1afed23,Creating your business in The US from France looks quiet easy,quiet easy,positive,night,70-100,Russia,145934462,16376870.0,9
8ba8a074b6, I just wish  would send a bruh a DM `I won`t be on til` so I don`t waste my erection on a bot,I just wish  would send a bruh a DM `I won`t be on til` so I don`t waste my erection on a bot,neutral,night,31-45,Jordan,10203134,88780.0,115
85f2090f04, That is messed up. I hope your day gets better.,That is messed up. I hope your day gets better.,neutral,morning,0-20,Congo (Congo-Brazzaville),5518087,342000.0,16
8cc9fcd1de,#snl...you`ve gotten better  keep it up,you`ve gotten better,positive,night,70-100,Madagascar,27691018,581795.0,48
2035d3e160,"Hey my twitter friends, tho very few!!!!","Hey my twitter friends, tho very few!!!!",neutral,morning,0-20,Qatar,2881053,11610.0,248
c65146e7c7,tonights been boring!,boring!,negative,noon,21-30,Guinea-Bissau,1968001,28120.0,70
5d8d8206b6,just downloaded more music and videos on my ipod.,just downloaded more music and videos on my ipod.,neutral,noon,60-70,Kyrgyzstan,6524195,191800.0,34
fac4f75f45,I just spent 2 hours looking for a blog topic and ended up inventing my own.  grrrr    http://bit.ly/QRz6y,ended up inventing my own.,negative,noon,60-70,Azerbaijan,10139177,82658.0,123
3dfcacae62,": G`night twitterverse, much twitter luv to you all  ? http://blip.fm/~5yvnd",luv,positive,noon,21-30,Oman,5106626,309500.0,16
7611e2cb48,"krys: running, mud baths and nice French food in napa w/ jimming",nice,positive,morning,46-60,New Zealand,4822233,263310.0,18
ebbac9da52,  probably why he`s still married to Joan perhaps?,probably why he`s still married to Joan perhaps?,neutral,night,70-100,Bahamas,393244,10010.0,39
22b844b503,"For some dumb reason my dresser is sticky on top. And for another reason, a family history book got attached to it  Now the back is jacked",dumb reason,negative,night,70-100,Djibouti,988000,23180.0,43
476f9b7220,"I feel like drinking wine, but I don`t have any.","I feel like drinking wine, but I don`t have any.",neutral,morning,46-60,Indonesia,273523615,1811570.0,151
7caac2808c,Happy Star Wars Day!!!,Happy Star Wars Day!!!,positive,morning,46-60,South Korea,51269185,97230.0,527
7a66758e39, lmao!!! ummm duh gurl I need to buy me some more v-necks I like em!!!,lmao!!! ummm duh gurl I need to buy me some more v-necks I like em!!!,neutral,noon,21-30,Nepal,29136808,143350.0,203
b0915e0362," Southridge was moved a week later cause of Swine flu, i think","Southridge was moved a week later cause of Swine flu, i think",neutral,noon,21-30,Nicaragua,6624554,120340.0,55
8fdc091a69," yep,raced round it in cars and bikes,its only 40mins away,dont av much motorsport there now,its more planes n choppers now","yep,raced round it in cars and bikes,its only 40mins away,dont av much motorsport there now,its more planes n choppers now",neutral,night,31-45,Ghana,31072940,227540.0,137
934e796761,today will be productive: gym now....lots and lots of writing later,today will be productive: gym now....lots and lots of writing later,neutral,morning,46-60,Qatar,2881053,11610.0,248
2dc51711bc, That`s very funny.  Cute kids.,funny.,positive,morning,46-60,Central African Republic,4829767,622980.0,8
41ffd5d541,It`s raining that fine rain!!! U know the fine rain that wets you the most,It`s raining that fine rain!!!,positive,noon,60-70,Lebanon,6825445,10230.0,667
a260fd32ce,Can`t sleep but is happy that the Fugees are keeping him company,Can`t sleep but is happy that the Fugees are keeping him company,neutral,morning,0-20,Sao Tome and Principe,219159,960.0,228
e05b470def,such a nice day and i`m gonna be stuck inside all night,nice day,positive,noon,21-30,Cameroon,26545863,472710.0,56
6774ef79d9,Good morning! Driving to work,Good morning!,positive,night,70-100,Turkey,84339067,770000.0,110
d32d55433a,Going home to get clothes,Going home to get clothes,neutral,morning,0-20,Sao Tome and Principe,219159,960.0,228
310a7ade7a,"loves GOSSIP GIRL Episode 23, The Wrath of Con",loves,positive,morning,46-60,Serbia,8737371,87460.0,100
81e61d3c35, understandable. yah i leave on monday! I`ll be gone when you`re in chi,understandable.,positive,morning,46-60,Mongolia,3278290,1553560.0,2
ca74662e7d, Your DM never sent,Your DM never sent,neutral,night,70-100,Ecuador,17643054,248360.0,71
5a7b9e8618,no #thedailyshow this week,no #thedailyshow this week,neutral,night,31-45,Laos,7275560,230800.0,32
68c47d8b78, EPIC moment! hahahha i swear.. i really wanna see it,EPIC moment! hahahha i swear.. i really wanna see it,positive,morning,0-20,Guinea,13132795,246000.0,53
31fd533818,Watching Dr. Phil`s special on same-**** marriage. It`s sad how ignorant some people are,It`s sad,negative,morning,0-20,Papua New Guinea,8947024,452860.0,20
55c5308ef4,wants to eat an entire chocolate cheesecake,wants to eat an entire chocolate cheesecake,neutral,morning,46-60,Sweden,10099265,410340.0,25
93e3c08b4d,"I don`t want to lose my wisdom teeth, they make me wise. I will soon be without a trace of wisdom","I don`t want to lose my wisdom teeth, they make me wise. I will soon be without a trace of wisdom",negative,noon,60-70,Gabon,2225734,257670.0,9
37c62ba7ca,I would LOVE to ride the superman right now...,I would LOVE to ride the superman right now...,positive,noon,21-30,Saudi Arabia,34813871,2149690.0,16
f5471b3d09,Maybe I won`t be getting a call.,Maybe I won`t be getting a call.,neutral,night,31-45,Cabo Verde,555987,4030.0,138
b6f48fa598,had a horrible sleep + in a rather bad mood,in a rather bad mood,negative,morning,46-60,Liberia,5057681,96320.0,53
3e3377d366,Man! I can`t stop being freakin` hungry!,Man! I can`t stop being freakin` hungry!,neutral,night,31-45,Guyana,786552,196850.0,4
99ce44080e,twittascope is NOT rocking my socks - go away already!!,NOT rocking my socks - go away already!!,neutral,morning,46-60,Andorra,77265,470.0,164
6bc29f134a, Sounds Fun!,Sounds Fun!,positive,noon,21-30,South Sudan,11193725,610952.0,18
99cd70b2ce, oh how i wish there were chick a filas by me  i`m definently jealous.,i`m definently jealous.,negative,night,70-100,Ghana,31072940,227540.0,137
dc5c8ff513,L.A. said 'wipe the slate clean' before the jelly!,L.A. said 'wipe the slate clean' before the jelly!,neutral,noon,60-70,Gabon,2225734,257670.0,9
8a8a992e19,"it`s a perfect day to throw back your head and kiss it all good bye - love it, so cheerful!!  ? http://blip.fm/~5jckp",perfect,positive,morning,46-60,Central African Republic,4829767,622980.0,8
9f146eb43b,No... have to go on cruches next 2 weeks,No... have to go on cruches next 2 weeks,neutral,noon,21-30,Guinea-Bissau,1968001,28120.0,70
53f4529d01," And these poor, unfortunate souls don`t appear to have any pants at all...  ? http://blip.fm/~78qvz",unfortunate,negative,night,31-45,Iraq,40222493,434320.0,93
c2573bd6e1, Aww I feel bad for the lil ****. He look like he know what`s coming,bad,negative,night,70-100,Equatorial Guinea,1402985,28050.0,50
f35c830c79, Cavs has the easier route than Denver.,easier route,positive,morning,0-20,Lithuania,2722289,62700.0,43
a88de8cc26,says Happy Mother`s Day to all Moms out there  http://plurk.com/p/stkr2,Happy Mother`s Day,positive,night,31-45,Equatorial Guinea,1402985,28050.0,50
d193c6f3c0,"'Hi Im Jonathan from Spotify, 4 just 9.99 a month u cn have unlimited music w/ no interuptions' But I luv r little chats J, dont leave me","But I luv r little chats J, dont leave me",positive,noon,60-70,Nicaragua,6624554,120340.0,55
dfde5d23b1," Poor kitties  If there`s nothing that can be done, hopefully you`ll at least be able to find her a good home",a good,positive,morning,46-60,Belarus,9449323,202910.0,47
2873883fa9,"Zen-related stuff: 'Go with the flow.' Very easy to accomplish - it started to rain, so the rain will flush me away",w.' Very easy to accomplish,positive,night,31-45,Tonga,105695,720.0,147
07b2c97893,Anyone want to stop by Carl`s Jr and bring me a chicken club?  Can barely walk...,Can barely walk.,negative,morning,46-60,Sri Lanka,21413249,62710.0,341
6bcec9e91f,I`m bummed that I didn`t get TEDx tickets,bummed,negative,morning,46-60,Central African Republic,4829767,622980.0,8
ee0173c38c,Playing see you again-miley cyrus in the shop,Playing see you again-miley cyrus in the shop,neutral,morning,46-60,Nauru,10824,20.0,541
c6e33aba8f, http://twitpic.com/4jbba - ohhh someone likes to play with their food.... heehee,likes,positive,noon,60-70,Luxembourg,625978,2590.0,242
3e880ec28d,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,noon,21-30,Zambia,18383955,743390.0,25
9d35babf8a, You are an early bird too I see?!?!,You are an early bird too I see?!?!,neutral,night,31-45,Maldives,540544,300.0,1802
fd70127d9e, thanks.... just awesome,thanks.... just awesome,positive,morning,0-20,Malawi,19129952,94280.0,203
d3cff5f3ae,"feelin` somewhat down; ugh, i don`t want to have an exam! oh well... 5 days baby!",feelin` somewhat down;,negative,morning,0-20,Greece,10423054,128900.0,81
a63494f7f1, I`ve gotta watch out for those stealth skillz! I always forget.,I`ve gotta watch out for those stealth skillz! I always forget.,neutral,night,31-45,Spain,46754778,498800.0,94
3892687f15," Oh no! A lot of people are starting to tweet again! Hope you could still read our multiple tweets  Philippines tour, please?",Hope,positive,morning,46-60,Micronesia,115023,700.0,164
8d3f53c756, I am in the `real world` which apparently involves a lot less twitter....  sorry!,sorry,negative,noon,21-30,Japan,126476461,364555.0,347
3696933f3b," Awww, thanks Jon!  I appreciate that","Awww, thanks Jon!  I appreciate that",positive,morning,46-60,Mozambique,31255435,786380.0,40
58351086b6," Just go near a hive, they`ll tame you!",they`ll tame you!,negative,morning,46-60,Argentina,45195774,2736690.0,17
35b9799eea, Haha! Thanks! It`s the inane grin from grading. Some students have been really fascinating this semester,Thanks!,positive,morning,0-20,Indonesia,273523615,1811570.0,151
e6850425bc, i cantttt.  my grandparents are here.,i cantttt.,negative,morning,46-60,Tajikistan,9537645,139960.0,68
d5641944de,"Was outside playing ball with dogs, now all hot and sweaty",hot and sweaty,negative,morning,0-20,Liberia,5057681,96320.0,53
1c8668839e,"On the airport in Philadelphia at the moment, waiting for the plane to leave in about an hour. Just six more hours on a plane","On the airport in Philadelphia at the moment, waiting for the plane to leave in about an hour. Just six more hours on a plane",neutral,noon,60-70,Estonia,1326535,42390.0,31
829e2b094d,It`s pissing me off and not letting me follow ericka,It`s pissing me off and not letting me follow ericka,negative,noon,60-70,Côte d'Ivoire,26378274,318000.0,83
fd8bfa5d25,  really? ur a brave lady walkin around those lions then.  any other book suggestions?,a brave,positive,morning,46-60,Nigeria,206139589,910770.0,226
8a87bf47ff," oh dear, thats not good - I hope you get through it all with a smile","oh dear, thats not good - I hope you get through it all with a smile",neutral,morning,0-20,Malawi,19129952,94280.0,203
3a328cb991,"After France I was gonna spend more time in the sun, to overcome my negative reaction to it. Yep, in Netherlands. Good luck to me","After France I was gonna spend more time in the sun, to overcome my negative reaction to it. Yep, in Netherlands. Good luck to me",neutral,morning,46-60,Vanuatu,307145,12200.0,25
fa52ceb912, Major Fail. Since you asked,Fail.,negative,noon,21-30,Uruguay,3473730,175020.0,20
b9a0286741, The photos are AMAZING! What a GREAT subject & way to get people educated about Darfur! HUGS! U are an inspiring woman!,HUGS! U are an inspiring woman!,positive,night,70-100,Guyana,786552,196850.0,4
a4596fe6f9," wow 41,000 now....your really kickin` Carey`s butt with this competition! See you both very soon!",.your really kickin` Carey`s butt with this competition!,positive,morning,0-20,Latvia,1886198,62200.0,30
