cleaned_text,predicted_sentiment
tying run nd let hold em raider,neutral
whoa ive got go bed night,neutral
early actually going back little rest talk little later,negative
already cry movie started like min ago,neutral
k much appreciated yeah sure challenge great reward wouldnt trade anything,positive
ill alright whip may,negative
ugh cant sleep reallyy gettin gahif piss bad sometimes atleast know friend,negative
hope mom enjoys mother day gift,neutral
foster still working,neutral
god opened cloud said hate josh,negative
ten hour ago sleeping sorry,negative
thanks teflon liver scottish raised whisky,positive
wish,neutral
thank yyyyyyyyyoooooooooouuuuu,neutral
everything going wrong happy day,positive
myspace mobile free u credit cause liers,positive
brad fasting favorite person hang,positive
id respond going,neutral
haha yes im jealous dont money,positive
read meant toy though,neutral
noticed wellwood teeth tonight thats nice,positive
britain got good weather wish,positive
awful could believe first sad,negative
cant wait next twitter,neutral
following cause ordered,neutral
apartment emptying day sad last week,negative
yeah think depends youre least im getting free ill miss sk though,negative
want go see street dream playing anywhere near,positive
want wish mommy happy mother day,positive
home invader taken base,negative
dinner grandma since couldnt mum,neutral
going fun night im helping host,positive
moment foward imma spend money wisely dress shoe shopping every week pigging fav rest,positive
fun see glimpse life,positive
hi nice meet new twitter guess,positive
haha loser ily,positive
time clean,positive
star trek awesome kirk hot spock cool fun cool sexy definitely worth seeing saw cinerama,positive
sorry listen bat gd dude never got tell bat amazing,positive
thankyou much rock,positive
oh jordan im ready next contest baby cant wait kiss brazil love,positive
going work one suck miss happy hour sonic,positive
finally shifted twhirl tweetdeck filter close friend update happy monday peep,positive
read perhaps background apps,neutral
yes thanks change obama start mail ordering,positive
venti black ice tea pump classic,neutral
dane cook sport arena tonight wish ticket,neutral
well got home till tmw p comcast right didnt miss,positive
flight home awesome trip cousin miss sophia,positive
got new follower yesterday yay need til,positive
ive week toobut biology exam revise bone time limited,negative
read twitter bio love clever cute im smile,positive
welcome,positive
trainr thanks link made smile,positive
retarded thing someone could th know like retarded,negative
happy mother day everyone great day make sure go see ya momma,positive
well hit seeit depends,neutral
wish would send bruh dm wont til dont waste erection bot,negative
never invite,neutral
competition around corner take slow least week twisted ankle back jc awfully painful,negative
got back km run really good,positive
anais feel reeeally bad sorry,negative
oh joy elmo potty video,positive
sorry couldnt help twas try get trending topic,negative
seems cruel condition,negative
done ew,neutral
really wish could gone weekend,positive
im jealous want go ny,neutral
real world apparently involves lot less twitter sorry,negative
woke bad dream grrrr,negative
buff guyunfortunatly alot people dont know dannys name either sad sophie sweet,negative
nd last episode jay leno itll never nite twitter,neutral
hate late,negative
yum mother day lunch food business burnside delicious gorgeous day,positive
thats okay didnt want watch shelby anyway,positive
watching wall street realizing since movie channel wont get potty break,neutral
ok woke need get ready day getting twitterena submitted,positive
lousy landlord need focus kid packing cant nevermind sew sleeping bag,negative
hey arthur forgot say thanks flag proudly displayed bedroom door witty one,positive
cba ohwell might play another innabit,neutral
probably he still married joan perhaps,positive
getting ready graduation party id much rather hello marquee dane cook,positive
anyone want stop carls jr bring chicken club barely walk,negative
night,neutral
live live dj jayem bb esr click httpwwwkrisisdnbcomlistenasx,positive
im going schooljoy ive got go bye,neutral
noooooooo miss sooooooo much gaah,positive
making good time chicago traffic photo httpbkitecomxoi,positive
happy mother day mommy,positive
really need invest elliptical machine running shin splint suck,positive
im missing one diamond earring make sad,negative
usually choice lucky food love generally healthy except ice cream,positive
doesnt look good go burn lampions,positive
fun tonight,positive
finished watching series return chaser war everything really quite compared used,positive
henrie shoutout holland please got lot fan,neutral
lopez love kiss,positive
cant believe venus lost real shame smh think im getting sick week doesnt look like wknd gona better,negative
bet people ideia standard lovely time pair,positive
yeah much appreciate,positive
still class loader even custom assembly loader,neutral
know clean clothes either washer kitchen kitchenfire,positive
wow sexy,positive
missed hello kitty enough time oh well,neutral
hating weather ugh,neutral
hehe never thorw shoe im listening varsity fanclub surprise surprise sway sway baby awesome,positive
crazy live small world u live covina huh thas im back chino goooo,negative
likee lott lott think really hot hot good night,positive
apperently ea know copy sims legit upset,neutral
ive thought several time got good friend,positive
got bmth concert ticket youknowimsofreshtilldeath,neutral
ciara great snlkimyou mentioned snl tonightjustin really good also,positive
missed sun busy gettin hot bothered shop make weekend x,positive
decided id probably forget pocket sit accident,neutral
thx sharing,neutral
webcam hoepfner burgfest karlsruhe automatic reload fail httpbitlyvdtvf,negative
daughter went bday party today caled grace cakesthe little girl named grace made cupcake,negative
gymnastics time last night teaching friday evening class new summer schedule start next week,positive
would appreciate would big tim kaul fan ya know,neutral
haha ofcoooursee pretty much must plus dress night jst added incentive,positive
desktop quadcore win boot time laptop dualcore w ssd win boot time ssd desktop arrives day,positive
sorry found member preview sold awhile open noon general public,negative
zenrelated stuff go flow easy accomplish started rain rain flush away,positive
picture burn taylor swift great song,positive
duckraces bath dont quite work especially duck polar beara seal whale,negative
going buffalo wild wing meet best friend havent seen forever bad cant eat food,positive
good day another lindy day today level b free tester olympiou diamanti th floor thessaloniki,positive
erica yea tough keep going sometimes im sure worth,positive
im home videoke funtime yey got load ticket nyahahaha,neutral
yeah doesnt suck working nano take music sad,negative
cant fall asleep,neutral
sad dead,negative
enjoy silence,positive
parking meter computed plus got jipped free minute button didnt work,positive
dakota first bath since spayed heaven,positive
sayid could dead,negative
omg tragic,negative
id love im way india,positive
dont let queer boy donate blood,neutral
happy star war day everyone enjoy holiday uk,positive
find today first kiss,positive
heyheyheyheyehyeyyyyyyyyyyyyyyyy noo tokio hotel tshirts im friad omg shame,neutral
totally gutted decided go tonight roni size djing,neutral
best could proof crack lol httptwitpiccomust,positive
couldnt true like ur momma style,positive
hey change twitter account didnt even tell,neutral
awesome night ahead bad v rat city favorite skater one track fb,positive
frustrated im stuck home without transportation global god conference ahh,negative
aww sorry may lord give strength rest today,negative
goodnight,neutral
nearly finished angel demon awesome book feel lame reading,positive
good take rest,positive
httptwitpiccomyj say mystery science theatre mean anything,negative
ugh unattractive u might well drink regular glass really dont like,positive
sleep timeee wanted watch gossip girl im way tired goodnight,negative
hi thanks follow good luck friend ha,positive
aw man half term isnt long enough lol,positive
eating breakfast getting ready go school,positive
told u tried said late cause girl took ever get ready wanted meet,negative
early bird see,positive
hot hate summer harrymcflytosing,negative
yeeeeeessss cant wait bad cant drink,negative
came bak dancing neewwww cd haha im dancing,positive
guess wasnt meant,neutral
dont wanna miss laker game tonight im sad,negative
hope roommate good morning without tp soap,positive
chroma key coolness cumulus seminar going online couldnt see live feed,positive
super bummed whitecap game plan friend fell throughi need home let sitter go,negative
well look who tweeting,neutral
r sending tw business ppl mainland return favor chinese police representative tw,neutral
found best songd stuck head relient k songsi know every word finish,positive
wgn chicago used calm airing idea last day changed programing soundbite shouting,positive
photo amazing great subject way get people educated darfur hug u inspiring woman,positive
instead laying degree ive gotta give fourth grader misoricesushimochi hour fml,neutral
thats cuz youre cruising twitter nightshift,neutral
party moved next weekend stupid weather,negative
wish could play guitar guitar got christmas ago collecting dust need learn haha,positive
right whole twitter silence experiment last four day murder inability mouth,positive
wanna know fun way wake panic attack able breath reason sucked,positive
listening varsity fanclub,neutral
httptwitpiccomjcfg cycle within quarry shipley glen near baildon moor heading back wood,positive
supernatural httptwitpiccoml liked old ruby best,positive
gettin ready put show ugh really hope ppl dont comee,positive
today fun meeting boardies acoustic set soo phenomenal,positive
decide sprain mine bothering never checked,neutral
krys running mud bath nice french food napa w jimming,positive
argggggg car crash tv sooooooooo horrible see like bgt,negative
yup day older,positive
meeting went well last nightthey shot promo air weekend mtv tried hide close think caught,neutral
missing mother day happy mother day,positive
dont like dentistthey make gum hurt,neutral
omg taylor london near scotland please come visit glasgow,positive
guest,neutral
feel like im house arrest,negative
yes,neutral
year,neutral
hi lisa beautiful pup happy mother day raven rio thor wonderfur mama kittykisses,positive
pool still closed cloudy cook tonight,negative
mom said,neutral
good luck itdo well best wish,positive
think sunstroke,neutral
gudluck,neutral
sometimes long weekend need good conversation thanks bro,positive
become mother slave,neutral
rain rain rain go away come back next week im gone via raining lie crazy key,negative
never made gym blowout sans thong wearing company phew bummer missing workout,negative
day allweb im still tired,negative
mind calm heart happy life good would ok took breath away,positive
go buy mother mother day gift,neutral
u go mariahnever listen hater fan long grateful ur music cant wait album,negative
tataindicom good tatasky airtel broadband better,positive
haha overheard u yrold mom mom think learn read today,positive
morning checking still find twhirl,neutral
called retro dear wear fifty fashion sometimesdid see birthday picture,neutral
ebru thank linkvery coolsee monday,neutral
stupid msn wont let onnnn,negative
saying past week miss playing spade drinkin chillin good old day let know baby,positive
piyaaa hi im hyper im bored im online im going find picture noteboook still cant send message grr,negative
awake man need go sleep gots wake early church tomorow,positive
found morning,neutral
omg shame holliejust watched clip u posted,neutral
oops spent much already lol quid gone,positive
sometimes twitter make feel like outsider,neutral
leg broke waiting untile go,neutral
happy mother day mommy exspecially mine love mommy,positive
hopefully ill get see htb next week la really soon cant wait,negative
sad got plan cancled,negative
working technology love waz,positive
talking phone paul,neutral
alone still watching tww eating italian chocolate solving logic puzzle,neutral
avoided cinder block safe ny area dantas porky upset beavs gone,positive
oh great,positive
omg learned little girl played ducky first land time movie murdered age wtf,negative
want im tc say wanna make exception,neutral
imissu come back home honey,neutral
well first tweet today failed lol back sleep bacon egg hard choose,positive
sometimes people never learn shut stop talking,neutral
goodmorning twitter oh gosh woke soooo nice lol oh hai thar twitterverse happy mothersday everybody especially mine,positive
drive crazy miss big blue selected tweet highlight cant tell tweet selected anymore,negative
lol went okay far tell test today geo zoned got like,positive
wanted say positivity doin good change wont regret forsure,positive
whats spilling everything,neutral
feeling special lookinghim first guy give flower,positive
shiny thanks headsup youre hour ahead,positive
im also plurk try,neutral
well use tweet push make go shop time im back hopefully,neutral
effing tired httpbitlyezfz,negative
came cold cheese sauce good though,positive
want see maniac come post,neutral
handz well know kind guy idiot,negative
sick tired sick tired,negative
samee well aint man girl obv nd lol aint special famous rich wish tho,positive
finally picked handwraps struggling wrap stronger hand defo got lot sooner though,neutral
didnt make cousin yacht convention hope doesnt get upset hope,neutral
great day another one awaits,positive
headin homerefreshed mind soul justa lil bitbac reality,neutral
ok im going outsidewish playing basketball oh well,positive
thought albany couldnt worse aos leave,negative
rothlisberger thats awesome bookmark,positive
comment well knowto reply,neutral
bored headache,negative
grew fat today gss hxc saw full house chanel jc pedder red ferragamo great economic downturn,positive
wearing exactly clothes used wear canada beanie touque ahh brings back memory miss snow,positive
gonna go home try take nap emotionally exhausted,negative
ohh noo joshua im sooo sorry im really sorry didnt get see please forgive im sorry,negative
thedailyshow week,neutral
missing used,negative
think would good radio dji like awesome music great personality,positive
nice sunny day,positive
working cant wait till funeral monday,neutral
least large vocabulary benefit writer hope youre well sister,negative
jonas demi miss niiick soul asasgdygyasdgy,neutral
im suffering internet work bad site hosted russian server available,negative
got back carlton greenville benz getting serviced time make money think ill make sale call,negative
oooh hangover,neutral
say im find hurtful,neutral
chilling baybee sarah love girl,neutral
major fail since asked,negative
yea friend flew amercia see w jonas brother u haha hate bebo p aw cant wait,negative
yes pm pm right,positive
need cancel appt home washing machine repair man sorry,negative
omg got sleep neighbor building deck theyve starting im tired feel like took benadryl,negative
thanks elephant look magnificent miss due stupid restriction g pleease cheap,positive
youre big man embracing tear,neutral
oh friend know youre retract last statement thennnnnnnn,neutral
bed night every onee,neutral
following lol dont paying attention little ol mylan,positive
sorry change plan revision monday exam park one friend,negative
today busy day exhausting,negative
back sql final tomorrownew video today,neutral
got back doctor dont need surgery yayyy knee still gonna get better,positive
forgot power cable home today,neutral
hahahahah would chief contributor lol,positive
nocturnal serendipity kashmir important mean end,positive
writing wasnt scrub,neutral
argh noo missed killer wossy suck missed brandon total failure anyone know repeated must investigate,negative
happy birthday david,positive
truong sunbae bad jst scratch wht said im talking nonsense lol enjoy perfs,positive
eating hawain pizza breakfast bit cold,negative
love metal gear solid valkyria chronicle,positive
hard feeling hope like say think agree,negative
happy birthday tooo meeee happy birthday tooo meeee,positive
oh dear selected worst bit highlight soprano guy,negative
wish blog working properly great followfriday blog post wanted showcase,positive
writing mother day card mom gran hurray,neutral
sitting homeneed pricing garage sale itemsbut help boring,negative
didnt get job keep applying schooli want teach,neutral
neil picked show tailights cause heartless hit run,neutral
attempt sync facebook twitter seems failed,negative
wats world x basketball game best shooter team idk shooter existes lol understand haha,positive
oh dear thats good hope get smile,positive
joeys getting new lizard fun x,positive
feelin somewhat ugh dont want exam oh well day baby,neutral
theyre mama always bake late get worried mixer gonna bother people,negative
well pray,neutral
stu lantz awesome miss chick hearn tho,positive
yeah replied meant take photo drink laaazy didnt x,neutral
need memorize julius caesar line,neutral
neighbor cat died really loved,positive
way home,neutral
bad day history test tommorrow want go sun play,negative
thanks g actual birthday tuesday,positive
miss,neutral
didnt mind movie may im big fangirl,neutral
yay power phone charged hot,positive
man test playing cod day till summer,neutral
hello hope flu,neutral
guy rocked tonight la love ya guy cab wait see another awesome show soon,positive
lost game time today day history lostthegame blame,negative
hi dougie im fan thailand im film luv ur song much,positive
excited see samanthadenise httpplurkcomprrid,positive
star trek grtsat bggeting drunk,negative
totally felt bad guy haha im good miss guy,positive
go near hive theyll tame,negative
bad,negative
good morning going kickbutt day,positive
none yea last weekend crazy think partied hard thats im sic,negative
mmm thanks u get stoned eat thats cool,positive
junk food movie tshirt sweat way tonight would better someone hang,positive
walk school two welt thigh,neutral
booya sup tweeps happy infamous day get soon cant wait play need find time though,positive
picture bliss jpeg format sorry message board terminology u dont play wu board,negative
time diff ive wrapped day day stuff havent tweeting talk soonmust sleepup hr,neutral
wish literally could every worldima nymph,neutral
chowder,neutral
hanging bryanthailee possibly lafayette tonight nd dont know keep updating follower,neutral
dont think sister refusn get ticket next week,neutral
idiot ok mostly skint hell couldve done something,positive
home school today,neutral
miss stupid work,negative
yep suck thought somewhere said,neutral
happy mother day baby mommasss rofl,positive
awwwh sorry well glad youre closer u though,neutral
fun twitpic purple hair,positive
checked commented,neutral
sitting chevy dealership utah waiting van fixed,positive
im back wooooo want press release,neutral
awww thinking lot glad enjoyed,positive
plenty good trivia wikihow trying help hope u got sleep,positive
going watch boy striped pjs hope dont cry,neutral
blake sea water sandbox la cordova cant rez object autoreturn min,neutral
kidding ugh one thing know sure wont showing property weekend,positive
im really happy u n leigh thnx sharing happiness u mean world u love ya marta,positive
havnt gotten month ex seems dating isnt spark anymore still love loser left,positive
thats good day,positive
never relaxing weekend allahpundit,neutral
thinking new oh yes btw bankroll stay bit yesterday wont whine bad beat,negative
wish zak wuld trust enough give bac necklace want back think ill cut httpplurkcompxqkb,negative
im sure stracchino sound good,positive
italy greece love italian men hehe,positive
thats baby little rhythm still sinc inutero,negative
wife lost sprint blackberry bike ride anyone extra bb laying around retweet,neutral
sometimes feel pathetic going bed early oh well totally get clam chowder tomorrow,negative
gonna laundrynever laundry hotel beforei miss reven though ignore even check,neutral
yearling pet home died sad whole family,negative
thanks recommendation,positive
oh kindergarten teacher died mr collinson always remembered every student ever loved lady,positive
baking cake momma,neutral
hope son okay,positive
wanna say happy mother day mom including mine love u mama,positive
happy mommy day,positive
eh shut freeway omw job interview guess im gonna late,negative
id like put fruity article website youll permit,neutral
nope worry possibility im worried googs design personal taste actually,neutral
going bed talk ya later goodnight birdie lol,positive
anyone else bad friday fun day today,negative
think come tomarrowbecause really really really looking foreword seeing youplease come,positive
im always little sad see follower really like decide unfollow,negative
haha nice ring let get used ok iloveyoutoo,positive
sad day found first scratch car,negative
check song time lose wwwmyspacecomflownyce youll enjoy promise,positive
oh monday also mean new american dad glad watched show funny make monday even better,positive
everything good except neck shot steves back head shot,positive
aint ur ff list im hurt,neutral
im giving dont care mess life,negative
rain oh hell way tell,neutral
ooo good luck dundee tonight cant co ton uni work,positive
music soothes soul,neutral
back buisiness,neutral
way great word boy dont get oh bday,positive
yay thanks followfriday failfriday still winning though,positive
pug woke incredible sleep,positive
comment new myspace picture plz,positive
redirect energy creating men jewelry frequent walk,positive
go cobracam idea,neutral
get dinner,neutral
gmail,neutral
loving music good recommendation someone know stuff,positive
woooooooooo coming nottingham point lovelovelove,neutral
hubby vet get animal like child best hope ur biz going well,positive
miss smile,positive
sleeeeeeeepy im goodnight twitterverse,neutral
weird subconscience wonder dream next,negative
sorry fell asleep first,negative
welcome twitter really cool greeting viennaaustria,positive
say everyone busy httpplurkcomprouv,positive
watching new season eleven dvd,positive
greg back top love nascar,positive
blame goose gotcha feelin loose blame tron gotcha zone michellethis fault lol,positive
chilling outnow boy gone time relax,negative
think love part saying cynical word even though smile say think bad,negative
sorry disappoint,negative
wst wheater austria bad whole weekend sorry,negative
googledocs folder instead label like gmail kind like label,positive
tummy ache,neutral
ohh realized still talking b like dat time,neutral
fuck dont get gift exited sooo awesome,positive
plane ticket expensive,negative
okay okay sleep realz goodnight wave follower,positive
horrible sleep rather bad mood,negative
dont think ive ever tierd lifeughgoodnightso sleeping tomorrow,neutral
httptwitpiccomqv forever ethan couldnt,neutral
saw tues last niiiighht amazzzing didnt even notice forgetting wordddss,neutral
rachel allen date bar easy make httptwitpiccomjas,positive
httptwitpiccomwsue yeah well thanks blush,positive
actually think im mean heri feel sorry,negative
go winchester sister doesnt go bad time x,negative
looool ana vote ag ele yeleni taqaod,neutral
im sorry lol never like actual time spend unfortunately everythings always insane go,negative
gandang mac un ah sure market ma mahal pa sya sa macbook pro ang cool ng concept,positive
least doesnt try violently hump like female dog,negative
got back hangin bestie pool soo nice,positive
punch shape card card card card ask people free card,positive
devil big brother quiz im busy rocking guitar hero didnt notice thing,positive
bored waiting class start sigh midterm next week,negative
got back seeing star strek,neutral
wow safe trip back home begging please come back bloomington soon,positive
airport waiting,neutral
cheeseburger,neutral
know short week certainly dragged,positive
ooh cutting like,negative
wockeez wanna go wont im sure show great,positive
disappointed cadbury chocolate block got smaller,negative
wish birthday massacre would come australia think said theyre thinking tho httptinyurlcomplfch,neutral
ive realised follower yay,neutral
playing window rc,neutral
finished mtml assignment didnt like feel like missed lotsa point word limit hmmpph,neutral
momma comin night morrow tennis day pnar yuppie,neutral
week week gym worst headache,negative
worry noone got one next question start minute get thinking cap,neutral
dw never,neutral
see jonas brother movie funny one else hahah cant httptinyurlcommagcwo,positive
alexajordan sigh come sac please miami central valley,neutral
ever seen tv show dead like died became grim reaper taking people soul accident,negative
supposed go boatingsongwriting cape cod cold rainy,negative
still got one year tmo tho might get new bb curve concerned abt apps batt life important,positive
bigi tokyo fashion spree tmr check sih web,neutral
like sound tweet,positive
also travel backpacking hope enjoy pic video,positive
hong kong great crazy english name friend work miss chewbacca leung,positive
anybody else think win pretty much vista sp,positive
im feeling much less alone love fitzcarraldo people mention idea talking,positive
raining,neutral
lol gross theyre gross,positive
later feel good guilty,positive
even saw news feed archie website cant believe hed choose veronica im disappointed,negative
impressed might go away complain much x,positive
working watching snl,neutral
happy mother day everyone,positive
im full subway bomb waiting nd shift start,positive
pancake always end soggy,neutral
thats relief feel better knowing hereditary fun,positive
upshot want hunt uhh well wish yall best luck tweeps,positive
thats pretty bad quality probably worst pic u posted till date,negative
hey twitter friend tho,neutral
ipod taken last breath im truly devastated lost public transportation companion,neutral
ive gotten cold every time ive flown somewhere hr away past year hope back poolon bike next week,negative
know sun even ive hr tossa decided sleep side cold nose,negative
curing le hangover epic night bruised n battered hectic gokarting session pretty satisfied thank much,positive
asks thnx griting take care god bless httpplurkcomprqo,neutral
seems like win win situation,positive
going help lancey cook,neutral
mmmm lauren conrad eeeeep im going miss hill,neutral
want mouth btch mm jeffree rawks,neutral
second wish rained,neutral
wish hadnt teased movie night,neutral
actually id prefer rum gin dont ive preferred much previously,negative
havent got mine yet u get,neutral
um mr deadly sir please follow twitter,negative
haha phew ive never said,positive
home sweet home carrie underwood make sadd,positive
say bad trip angry httpplurkcompwxshi,negative
fyi lot people following unfollowed lot yer kinda boring really helpful egrowth,negative
eyedea love lastfm find lot easier content spotify add httplastfmuserankey like,positive
wish va,neutral
last leg travel today totally exhausted thank goodness ed keeping company,negative
way work,neutral
might give another go,neutral
actually meant type end september middle conversation someone cant multitask,neutral
layenn downuughh dunt feel well,neutral
next movie terminator salvation transformer gonna meka spring year,neutral
sorry im using tweetdeck letting tweet today,negative
house hunting next year fun,positive
doesnt work iphone yet love simplicity need able sort task iphone useful,positive
pm hit school tomorrow ahaha ill stay til think,negative
way saw u ellen yesterday late comparing usa u awesome,positive
enjoying lazying around eating rose chocolate x,positive
made card mom cant wait see smile face see,positive
marie hey beautiful whats,positive
amazing best time hope good weekend,positive
waiting amy go see hannah montanna movie,neutral
didnt make challenge,neutral
